wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
562,40,74,27,2,14,34,1,1,3,1,1,1
1154,45,111,37,3,13,36,1,0,2,3,3,3
1000,40,95,44,2,16,36,1,1,1,2,2,2
930,43,132,44,3,8,38,1,0,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
635,40,128,35,3,8,36,0,1,2,1,1,1
1000,40,103,40,2,17,34,1,1,1,2,2,2
1779,40,132,42,3,8,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1274,40,106,35,3,11,31,1,1,0,3,3,3
692,40,108,48,2,21,38,1,1,3,1,1,1
1027,27,100,40,3,12,38,1,1,3,2,2,2
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
1151,40,98,34,2,12,29,1,1,3,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
1455,40,109,44,3,8,36,1,1,1,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1040,40,115,49,3,8,35,1,1,3,2,2,2
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1694,30,113,30,3,9,29,0,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
2500,40,95,51,3,12,36,1,1,3,3,3,3
1186,30,91,41,3,8,33,1,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
1250,46,110,37,2,5,38,1,0,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
962,40,85,41,2,15,38,1,1,1,2,2,2
1110,52,106,42,2,11,33,1,0,3,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
601,48,111,30,2,15,33,1,1,0,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1031,40,112,24,3,9,29,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1325,45,97,44,2,12,28,1,1,1,3,3,3
900,40,78,21,2,16,33,1,1,3,2,2,2
800,40,112,39,2,15,34,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
513,45,119,30,3,8,31,0,1,1,1,1,1
1105,40,93,36,2,17,37,0,1,2,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
650,40,100,18,2,4,28,1,1,3,1,1,1
1126,40,119,30,3,5,32,1,1,1,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
2404,50,106,38,3,8,32,1,1,2,3,3,3
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
1318,35,118,47,3,16,37,1,0,1,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
951,60,116,40,2,9,30,1,1,3,2,2,2
635,47,91,24,2,13,31,1,1,2,1,1,1
400,40,75,33,2,11,32,1,1,3,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
652,50,113,37,2,14,36,0,1,1,1,1,1
618,42,104,34,2,6,30,1,1,3,1,1,1
2404,50,96,42,3,1,36,1,1,3,3,3,3
723,40,98,34,2,15,38,1,1,1,1,1,1
971,40,95,42,3,5,37,1,1,1,2,2,2
500,45,90,47,2,19,37,1,0,0,1,1,1
