wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
562,40,74,27,2,14,34,1,1,3,1,1,1
1000,40,95,44,2,16,36,1,1,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
471,44,101,34,2,13,31,1,1,3,1,1,1
1275,40,123,37,3,9,31,1,1,0,3,3,3
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1000,40,103,40,2,17,34,1,1,1,2,2,2
1424,50,98,41,3,15,35,1,1,1,3,3,3
2668,75,108,41,3,12,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1318,38,122,47,3,10,33,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
1155,40,102,36,2,16,34,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1154,40,134,46,3,10,37,1,1,2,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
1452,45,115,45,3,1,30,1,1,3,3,3,3
1748,55,123,48,3,10,36,1,1,1,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
978,45,89,47,2,17,38,1,1,0,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
600,40,120,45,3,12,38,1,0,3,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
1643,48,117,48,3,8,33,1,1,2,3,3,3
1072,42,104,37,3,6,35,1,1,2,3,3,3
1040,40,115,49,3,8,35,1,1,3,2,2,2
1000,50,97,45,2,17,36,1,1,1,2,2,2
1100,37,100,32,2,14,30,1,1,1,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
579,44,122,36,3,8,30,1,0,3,1,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
750,40,94,18,2,16,37,1,1,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
1250,46,110,37,2,5,38,1,0,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
1299,60,125,44,3,6,35,0,1,1,3,3,3
1539,45,120,36,3,7,34,1,1,1,3,3,3
1110,52,106,42,2,11,33,1,0,3,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
1205,40,86,32,2,13,32,1,1,3,3,3,3
601,48,111,30,2,15,33,1,1,0,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
635,40,105,29,2,15,33,1,0,2,1,1,1
1151,45,90,38,2,19,36,1,1,1,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1495,45,109,34,3,10,32,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
800,40,112,39,2,15,34,1,1,3,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
923,40,105,54,3,7,34,1,1,1,2,2,2
1193,50,82,38,2,19,36,1,1,0,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1899,40,127,49,3,9,36,0,1,0,3,3,3
1100,50,117,51,3,11,32,1,0,0,3,3,3
1318,35,118,47,3,16,37,1,0,1,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
1058,40,85,50,2,17,38,1,0,3,1,3,3
1250,40,91,28,2,13,34,1,1,3,3,3,3
577,50,94,17,2,9,29,1,1,2,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
