wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
1400,40,116,43,3,14,35,1,1,1,3,3,3
600,40,91,24,2,13,30,0,1,1,1,1,1
1081,40,114,50,3,8,38,1,1,2,3,3,3
1000,40,95,44,2,16,36,1,1,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
900,45,125,40,3,4,30,0,0,2,2,2,2
850,40,72,36,2,19,38,1,1,2,2,2,2
1275,40,123,37,3,9,31,1,1,0,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
666,75,129,40,3,8,38,1,0,2,1,1,1
714,35,105,37,3,9,29,1,1,1,1,1,1
1081,40,123,46,3,11,36,1,0,1,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
442,60,82,32,2,12,33,1,1,2,1,1,1
1643,48,117,48,3,8,33,1,1,2,3,3,3
1455,40,109,44,3,8,36,1,1,1,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1072,42,104,37,3,6,35,1,1,2,3,3,3
1000,50,97,45,2,17,36,1,1,1,2,2,2
1100,37,100,32,2,14,30,1,1,1,3,3,3
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
650,40,69,37,2,14,30,1,1,3,1,1,1
808,40,97,37,3,10,29,1,1,3,2,2,2
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
1000,45,90,42,2,16,38,1,1,3,2,2,2
895,40,86,39,2,17,38,1,0,2,2,2,2
750,40,113,27,2,11,29,1,0,1,1,1,1
601,48,111,30,2,15,33,1,1,0,1,1,1
600,40,106,32,3,10,28,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1031,40,112,24,3,9,29,1,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1346,50,128,46,3,10,33,0,0,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
1325,45,97,44,2,12,28,1,1,1,3,3,3
800,40,88,32,2,16,38,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
1105,40,93,36,2,17,37,0,1,2,3,3,3
1193,50,82,38,2,19,36,1,1,0,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
650,40,100,18,2,4,28,1,1,3,1,1,1
670,40,93,27,3,9,29,1,1,2,1,1,1
1126,40,119,30,3,5,32,1,1,1,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
1899,40,127,49,3,9,36,0,1,0,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1100,50,117,51,3,11,32,1,0,0,3,3,3
714,35,125,34,3,7,28,1,1,3,1,1,1
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
750,40,106,32,3,9,29,1,1,1,1,1,1
1000,60,101,30,2,11,30,1,1,3,2,2,2
400,40,75,33,2,11,32,1,1,3,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
1250,50,102,26,2,6,32,0,1,3,3,3,3
1100,40,122,38,3,11,33,1,1,2,3,3,3
652,50,113,37,2,14,36,0,1,1,1,1,1
962,50,124,43,3,7,34,1,1,2,2,2,2
529,40,110,31,3,14,32,1,0,1,1,1,1
962,40,120,39,3,8,32,1,0,0,2,2,2
840,40,105,39,2,19,38,1,0,3,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
1126,40,110,26,2,16,32,1,1,3,3,3,3
