wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
1154,45,111,37,3,13,36,1,0,2,3,3,3
1000,40,95,44,2,16,36,1,1,1,2,2,2
850,40,72,36,2,19,38,1,1,2,2,2,2
471,44,101,34,2,13,31,1,1,3,1,1,1
1615,50,113,49,3,10,36,1,1,2,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
1424,50,98,41,3,15,35,1,1,1,3,3,3
1779,40,132,42,3,8,32,1,1,1,3,3,3
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
692,40,108,48,2,21,38,1,1,3,1,1,1
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1154,40,134,46,3,10,37,1,1,2,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
769,55,120,49,3,8,32,0,1,1,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
978,45,89,47,2,17,38,1,1,0,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
442,60,82,32,2,12,33,1,1,2,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1072,42,104,37,3,6,35,1,1,2,3,3,3
1040,40,115,49,3,8,35,1,1,3,2,2,2
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1694,30,113,30,3,9,29,0,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
1076,45,105,24,2,5,31,0,1,1,3,3,3
750,40,94,18,2,16,37,1,1,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
650,40,69,37,2,14,30,1,1,3,1,1,1
1250,46,110,37,2,5,38,1,0,1,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
808,40,97,37,3,10,29,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
962,40,85,41,2,15,38,1,1,1,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
770,48,91,39,2,13,38,1,1,1,2,2,2
1000,45,90,42,2,16,38,1,1,3,2,2,2
750,40,113,27,2,11,29,1,0,1,1,1,1
654,50,111,51,3,5,38,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
1225,40,118,44,3,9,32,1,1,0,3,3,3
1151,45,90,38,2,19,36,1,1,1,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1031,40,112,24,3,9,29,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
900,40,78,21,2,16,33,1,1,3,2,2,2
800,40,112,39,2,15,34,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
1193,50,82,38,2,19,36,1,1,0,3,3,3
1394,40,118,41,3,11,30,1,0,2,3,3,3
1495,45,113,50,3,13,33,1,1,3,3,3,3
1126,40,119,30,3,5,32,1,1,1,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
1100,50,117,51,3,11,32,1,0,0,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
1058,40,85,50,2,17,38,1,0,3,1,3,3
750,40,106,32,3,9,29,1,1,1,1,1,1
1000,60,101,30,2,11,30,1,1,3,2,2,2
1250,40,91,28,2,13,34,1,1,3,3,3,3
400,40,75,33,2,11,32,1,1,3,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
1250,50,102,26,2,6,32,0,1,3,3,3,3
1100,40,122,38,3,11,33,1,1,2,3,3,3
1130,50,105,38,2,18,37,1,1,3,3,3,3
618,42,104,34,2,6,30,1,1,3,1,1,1
962,50,124,43,3,7,34,1,1,2,2,2,2
840,40,105,39,2,19,38,1,0,3,2,2,2
1160,40,92,32,2,8,31,1,0,3,3,3,3
723,40,98,34,2,15,38,1,1,1,1,1,1
1010,40,97,42,3,7,34,1,1,3,2,2,2
1058,45,98,45,3,14,34,1,0,2,3,3,3
500,45,115,43,2,14,32,1,1,1,1,1,1
865,40,114,26,2,6,30,1,0,2,2,2,2
1081,40,92,34,3,8,30,1,1,3,3,3,3
515,45,114,30,3,8,28,1,0,3,1,1,1
990,40,108,42,3,13,33,1,0,3,2,2,2
600,40,107,32,2,16,33,1,0,3,1,1,1
1160,40,84,35,2,17,38,1,0,3,3,3,3
500,55,86,22,2,11,29,1,0,3,1,1,1
