wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
1400,40,116,43,3,14,35,1,1,1,3,3,3
600,40,91,24,2,13,30,0,1,1,1,1,1
1081,40,114,50,3,8,38,1,1,2,3,3,3
930,43,132,44,3,8,38,1,0,1,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
958,50,105,37,2,17,35,1,1,1,2,2,2
850,40,72,36,2,19,38,1,1,2,2,2,2
1275,40,123,37,3,9,31,1,1,0,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1000,40,103,40,2,17,34,1,1,1,2,2,2
1424,50,98,41,3,15,35,1,1,1,3,3,3
2668,75,108,41,3,12,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1027,27,100,40,3,12,38,1,1,3,2,2,2
981,40,122,41,3,9,35,0,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1155,40,102,36,2,16,34,1,1,1,3,3,3
1154,40,134,46,3,10,37,1,1,2,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
769,55,120,49,3,8,32,0,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
1151,40,98,34,2,12,29,1,1,3,3,3,3
963,40,109,43,2,15,37,0,0,3,2,2,2
600,40,120,45,3,12,38,1,0,3,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1040,40,115,49,3,8,35,1,1,3,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1694,30,113,30,3,9,29,0,1,3,3,3,3
754,40,104,37,3,9,32,1,1,1,2,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
672,61,96,38,2,13,34,1,1,2,1,1,1
1076,45,105,24,2,5,31,0,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
650,40,69,37,2,14,30,1,1,3,1,1,1
1250,46,110,37,2,5,38,1,0,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
900,40,86,28,2,17,37,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1586,40,92,47,3,16,36,1,1,3,3,3,3
962,40,85,41,2,15,38,1,1,1,2,2,2
1110,52,106,42,2,11,33,1,0,3,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
895,40,86,39,2,17,38,1,0,2,2,2,2
600,40,106,32,3,10,28,1,1,3,1,1,1
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1031,40,112,24,3,9,29,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
1325,45,97,44,2,12,28,1,1,1,3,3,3
900,40,78,21,2,16,33,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
1105,40,93,36,2,17,37,0,1,2,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1318,35,118,47,3,16,37,1,0,1,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
750,40,106,32,3,9,29,1,1,1,1,1,1
1000,60,101,30,2,11,30,1,1,3,2,2,2
635,47,91,24,2,13,31,1,1,2,1,1,1
1250,40,91,28,2,13,34,1,1,3,3,3,3
675,40,110,34,2,6,34,1,1,2,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
1250,50,102,26,2,6,32,0,1,3,3,3,3
652,50,113,37,2,14,36,0,1,1,1,1,1
618,42,104,34,2,6,30,1,1,3,1,1,1
529,40,110,31,3,14,32,1,0,1,1,1,1
962,40,120,39,3,8,32,1,0,0,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
2404,50,96,42,3,1,36,1,1,3,3,3,3
1126,40,110,26,2,16,32,1,1,3,3,3,3
1160,40,92,32,2,8,31,1,0,3,3,3,3
1778,40,109,43,3,14,36,1,1,0,3,3,3
1903,48,118,44,3,13,36,1,0,0,3,3,3
670,45,117,33,2,10,30,1,0,3,1,1,1
500,45,90,47,2,19,37,1,0,0,1,1,1
550,46,95,44,2,18,35,1,1,1,1,1,1
1081,40,92,34,3,8,30,1,1,3,3,3,3
575,40,85,32,3,6,30,1,0,1,1,1,1
623,45,98,34,3,7,30,1,0,3,1,1,1
515,45,114,30,3,8,28,1,0,3,1,1,1
1273,55,84,42,3,14,37,1,1,1,3,3,3
795,45,88,27,2,17,35,1,0,2,2,2,2
740,50,84,31,2,23,38,1,0,3,1,1,1
1014,55,110,42,3,13,30,0,1,1,2,2,2
913,40,110,26,3,4,29,1,1,3,2,2,2
794,40,114,36,3,9,29,1,1,1,2,2,2
520,50,107,30,3,6,29,1,0,3,1,1,1
1730,50,117,41,3,12,37,1,1,1,3,3,3
1924,50,112,47,3,9,38,1,1,3,3,3,3
2162,40,116,38,3,9,31,1,1,2,3,3,3
923,50,123,44,3,8,31,1,1,1,2,2,2
978,48,104,36,2,19,36,1,1,3,2,2,2
1031,40,112,43,3,14,33,0,1,3,2,2,2
1272,40,107,39,2,10,30,1,1,3,3,3,3
1136,50,117,36,3,16,34,1,1,2,3,3,3
1339,38,96,42,2,8,33,1,1,0,3,3,3
1063,40,90,38,2,14,32,1,1,2,3,3,3
375,40,99,29,2,12,30,1,0,3,1,1,1
1082,55,95,40,2,11,29,1,1,2,3,3,3
1155,40,109,49,3,13,38,1,0,3,3,3,3
769,55,105,45,3,7,38,0,1,2,2,2,2
587,38,117,40,3,8,29,1,0,3,1,1,1
1924,45,112,40,3,17,38,1,1,1,3,3,3
1058,40,89,28,2,7,29,1,1,2,3,3,3
1202,48,114,28,3,6,28,1,1,3,3,3,3
1154,40,98,35,3,18,37,1,1,1,3,3,3
1070,40,124,41,3,4,32,1,1,0,3,3,3
1202,40,125,30,3,10,29,1,1,2,3,3,3
1000,40,102,46,3,13,35,1,1,3,2,2,2
490,49,82,33,3,7,31,0,1,2,1,1,1
1000,40,112,47,3,15,35,1,1,3,2,2,2
865,40,111,38,3,11,31,1,1,3,2,2,2
1375,40,96,24,3,3,30,1,1,3,3,3,3
1602,65,97,47,3,14,37,1,1,1,3,3,3
3078,65,120,50,3,12,36,1,1,1,3,3,3
898,40,101,41,3,7,35,0,1,3,2,2,2
952,40,99,34,3,10,31,1,1,1,2,2,2
571,40,78,33,3,10,29,0,1,3,1,1,1
445,45,110,23,2,15,32,0,1,2,1,1,1
1444,40,120,50,3,12,37,1,1,1,3,3,3
1250,40,106,36,2,14,35,1,1,3,3,3,3
1016,40,72,18,2,14,37,1,1,3,2,2,2
800,40,88,29,2,21,37,1,1,3,2,2,2
1050,40,119,37,3,7,37,0,1,2,2,2,2
817,40,116,27,3,10,31,1,0,1,2,2,2
1011,40,104,43,2,20,37,1,1,0,2,2,2
1025,40,104,25,2,12,29,1,1,3,2,2,2
1350,40,107,37,2,17,35,1,0,2,3,3,3
1230,50,96,33,3,11,30,1,1,3,3,3,3
714,40,90,32,2,17,37,1,0,3,1,1,1
2067,40,106,41,3,12,33,1,1,2,3,3,3
912,40,96,32,3,11,30,1,1,2,2,2,2
600,40,114,39,2,8,30,1,1,3,1,1,1
951,40,86,33,2,13,31,1,1,3,2,2,2
1000,40,89,31,2,9,28,1,1,2,2,2,2
400,70,100,43,2,12,32,1,1,3,1,1,1
750,60,74,23,2,13,30,1,1,3,1,1,1
841,48,110,37,3,13,37,0,1,1,2,2,2
700,50,130,29,3,14,38,1,1,1,1,1,1
1346,50,108,51,3,9,36,1,1,1,3,3,3
800,45,98,31,2,16,33,1,0,3,2,2,2
1250,40,125,27,3,9,30,1,1,3,3,3,3
1105,40,104,29,3,5,29,1,1,3,3,3,3
800,50,92,28,2,18,34,1,1,0,2,2,2
824,42,92,37,2,19,38,1,1,1,2,2,2
1400,42,108,38,3,7,31,1,1,2,3,3,3
1100,40,91,41,2,18,36,1,0,2,3,3,3
1111,40,103,33,3,13,31,1,0,3,3,3,3
962,40,120,25,3,6,28,1,0,3,2,2,2
729,47,122,40,3,6,34,1,1,3,1,1,1
690,40,119,35,2,9,28,1,1,1,1,1,1
1010,50,104,37,2,15,38,1,0,3,2,2,2
600,40,96,22,2,7,29,1,1,3,1,1,1
596,40,83,36,2,16,34,1,0,3,1,1,1
850,44,115,37,2,11,29,1,1,3,2,2,2
793,40,96,43,2,17,36,1,0,3,2,2,2
1442,40,123,42,3,14,38,1,0,2,3,3,3
841,40,109,45,3,13,36,1,0,3,2,2,2
975,40,97,39,3,8,31,1,1,3,2,2,2
1223,40,107,34,2,7,28,1,0,1,3,3,3
910,30,95,27,2,16,35,1,1,2,2,2,2
750,40,104,36,2,15,33,1,0,0,1,1,1
1206,40,110,37,2,16,38,1,1,1,3,3,3
900,40,103,38,2,15,37,1,0,3,2,2,2
540,50,113,33,2,12,31,1,0,3,1,1,1
550,40,110,35,3,15,38,1,0,2,1,1,1
615,40,100,31,3,9,30,1,0,3,1,1,1
984,40,108,39,3,17,37,1,1,3,2,2,2
1100,40,92,37,3,21,38,1,1,3,3,3,3
1035,48,107,42,2,21,38,1,1,1,2,2,2
950,40,98,40,2,11,30,1,1,3,2,2,2
938,44,108,41,2,19,38,1,1,0,2,2,2
586,60,111,37,3,6,34,1,0,3,1,1,1
562,40,99,25,2,18,34,0,0,1,1,1,1
673,40,91,29,2,7,38,1,0,0,1,1,1
654,50,113,38,3,1,33,1,0,1,1,1,1
1111,40,98,32,3,10,29,1,1,3,3,3,3
1282,45,121,39,3,7,32,1,1,2,3,3,3
1250,60,115,40,2,19,38,1,1,1,3,3,3
1346,40,134,42,3,15,35,1,1,2,3,3,3
1424,50,96,47,3,15,37,1,1,2,3,3,3
1161,50,121,40,2,5,34,1,1,3,3,3,3
1260,45,106,37,2,5,29,1,1,2,3,3,3
1575,40,117,28,2,13,30,1,1,3,3,3,3
