wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
825,40,108,46,3,11,33,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
600,40,91,24,2,13,30,0,1,1,1,1,1
921,38,102,45,3,9,33,1,0,1,2,2,2
1792,40,118,47,3,9,34,1,1,1,3,3,3
958,50,105,37,2,17,35,1,1,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
830,44,105,29,3,4,29,1,1,3,2,2,2
1275,40,123,37,3,9,31,1,1,0,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1417,48,125,41,3,9,34,1,1,3,3,3,3
1000,40,103,40,2,17,34,1,1,1,2,2,2
1424,50,98,41,3,15,35,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1572,35,108,39,3,7,28,1,1,1,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
808,60,109,47,3,14,38,1,1,2,2,2,2
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
875,50,124,40,3,9,31,0,0,2,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
1452,45,115,45,3,1,30,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
1151,40,98,34,2,12,29,1,1,3,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
1366,38,122,38,2,15,32,1,1,1,3,3,3
1643,48,117,48,3,8,33,1,1,2,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1072,42,104,37,3,6,35,1,1,2,3,3,3
1200,40,96,48,2,15,37,1,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
650,40,69,37,2,14,30,1,1,3,1,1,1
1250,46,110,37,2,5,38,1,0,1,3,3,3
1299,60,125,44,3,6,35,0,1,1,3,3,3
1539,45,120,36,3,7,34,1,1,1,3,3,3
770,48,91,39,2,13,38,1,1,1,2,2,2
1000,45,90,42,2,16,38,1,1,3,2,2,2
895,40,86,39,2,17,38,1,0,2,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
750,40,113,27,2,11,29,1,0,1,1,1,1
654,50,111,51,3,5,38,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
1031,40,112,24,3,9,29,1,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
809,65,125,32,2,11,29,1,1,0,2,2,2
1495,45,109,34,3,10,32,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
800,40,112,39,2,15,34,1,1,3,2,2,2
800,40,88,32,2,16,38,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
1193,50,82,38,2,19,36,1,1,0,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
1495,45,113,50,3,13,33,1,1,3,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1126,40,119,30,3,5,32,1,1,1,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
1028,40,111,28,2,19,37,1,1,3,2,2,2
2404,50,106,38,3,8,32,1,1,2,3,3,3
1899,40,127,49,3,9,36,0,1,0,3,3,3
757,40,113,35,3,10,33,1,1,2,2,2,2
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
1100,50,117,51,3,11,32,1,0,0,3,3,3
714,35,125,34,3,7,28,1,1,3,1,1,1
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
750,40,106,32,3,9,29,1,1,1,1,1,1
635,47,91,24,2,13,31,1,1,2,1,1,1
675,40,110,34,2,6,34,1,1,2,1,1,1
577,50,94,17,2,9,29,1,1,2,1,1,1
1250,50,102,26,2,6,32,0,1,3,3,3,3
1130,50,105,38,2,18,37,1,1,3,3,3,3
652,50,113,37,2,14,36,0,1,1,1,1,1
618,42,104,34,2,6,30,1,1,3,1,1,1
817,40,95,37,2,16,33,1,0,2,2,2,2
962,40,120,39,3,8,32,1,0,0,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
2404,50,96,42,3,1,36,1,1,3,3,3,3
1126,40,110,26,2,16,32,1,1,3,3,3,3
723,40,98,34,2,15,38,1,1,1,1,1,1
1778,40,109,43,3,14,36,1,1,0,3,3,3
525,40,106,31,2,12,30,1,0,1,1,1,1
670,45,117,33,2,10,30,1,0,3,1,1,1
1058,45,98,45,3,14,34,1,0,2,3,3,3
550,46,95,44,2,18,35,1,1,1,1,1,1
575,40,85,32,3,6,30,1,0,1,1,1,1
1160,40,84,35,2,17,38,1,0,3,3,3,3
500,55,86,22,2,11,29,1,0,3,1,1,1
795,45,88,27,2,17,35,1,0,2,2,2,2
500,50,97,34,2,20,37,1,0,2,1,1,1
740,50,84,31,2,23,38,1,0,3,1,1,1
1250,40,117,45,3,10,33,1,1,1,3,3,3
1250,32,104,32,3,13,33,1,1,3,3,3,3
913,40,110,26,3,4,29,1,1,3,2,2,2
265,40,101,43,2,18,37,1,1,1,1,1,1
1250,40,117,31,3,7,28,1,1,1,3,3,3
1607,56,108,41,3,7,36,1,1,2,3,3,3
1452,35,69,33,3,12,38,1,1,3,3,3,3
794,40,114,36,3,9,29,1,1,1,2,2,2
520,50,107,30,3,6,29,1,0,3,1,1,1
2162,40,116,38,3,9,31,1,1,2,3,3,3
826,40,114,40,3,20,37,1,1,3,2,2,2
937,40,102,36,2,16,35,1,1,3,2,2,2
1031,40,112,43,3,14,33,0,1,3,2,2,2
1272,40,107,39,2,10,30,1,1,3,3,3,3
1136,50,117,36,3,16,34,1,1,2,3,3,3
800,45,110,36,2,19,36,1,1,3,2,2,2
1339,38,96,42,2,8,33,1,1,0,3,3,3
808,40,99,40,2,18,38,1,1,0,2,2,2
930,40,126,44,3,10,31,0,1,3,2,2,2
841,40,102,38,3,10,29,1,1,3,2,2,2
769,55,105,45,3,7,38,0,1,2,2,2,2
587,38,117,40,3,8,29,1,0,3,1,1,1
417,48,131,39,2,7,28,0,1,1,1,1,1
1202,48,114,28,3,6,28,1,1,3,3,3,3
1154,40,98,35,3,18,37,1,1,1,3,3,3
1070,40,124,41,3,4,32,1,1,0,3,3,3
1202,40,125,30,3,10,29,1,1,2,3,3,3
1202,40,84,21,3,6,31,1,1,2,3,3,3
850,43,113,26,2,7,28,1,1,1,2,2,2
1000,40,102,46,3,13,35,1,1,3,2,2,2
490,49,82,33,3,7,31,0,1,2,1,1,1
865,40,111,38,3,11,31,1,1,3,2,2,2
3078,65,120,50,3,12,36,1,1,1,3,3,3
906,40,120,40,3,16,37,1,1,3,2,2,2
289,40,94,35,2,9,30,1,1,2,1,1,1
1250,40,106,36,2,14,35,1,1,3,3,3,3
1016,40,72,18,2,14,37,1,1,3,2,2,2
1050,40,119,37,3,7,37,0,1,2,2,2,2
1079,50,87,33,2,18,36,1,1,3,3,3,3
654,50,121,49,3,12,34,1,1,1,1,1,1
1924,50,99,48,3,16,37,1,1,0,3,3,3
666,70,117,34,3,8,32,1,1,0,1,1,1
817,40,116,27,3,10,31,1,0,1,2,2,2
812,40,98,42,2,10,29,0,1,3,2,2,2
577,60,104,43,3,6,30,1,1,2,1,1,1
1011,40,104,43,2,20,37,1,1,0,2,2,2
1155,45,85,39,2,14,34,1,1,2,3,3,3
1350,40,107,37,2,17,35,1,0,2,3,3,3
796,48,119,31,3,16,37,1,1,3,2,2,2
754,40,93,31,2,13,30,1,1,3,1,1,1
714,40,90,32,2,17,37,1,0,3,1,1,1
912,40,96,32,3,11,30,1,1,2,2,2,2
600,40,114,39,2,8,30,1,1,3,1,1,1
1151,48,87,41,2,18,38,1,1,2,3,3,3
841,44,106,40,2,15,31,1,1,3,2,2,2
1175,45,111,38,2,17,34,1,1,0,3,3,3
1442,40,114,38,2,16,33,1,1,2,3,3,3
750,60,74,23,2,13,30,1,1,3,1,1,1
841,48,110,37,3,13,37,0,1,1,2,2,2
1250,40,125,27,3,9,30,1,1,3,3,3,3
1105,40,104,29,3,5,29,1,1,3,3,3,3
962,40,120,33,2,18,36,1,1,3,2,2,2
721,40,134,38,3,9,30,0,1,3,1,1,1
800,50,92,28,2,18,34,1,1,0,2,2,2
824,42,92,37,2,19,38,1,1,1,2,2,2
1442,40,118,33,3,6,29,1,1,2,3,3,3
1038,50,119,42,2,20,36,1,0,3,2,2,2
668,43,109,29,2,11,29,1,0,2,1,1,1
1000,45,118,38,3,9,30,1,1,3,2,2,2
523,43,119,37,3,9,30,1,0,3,1,1,1
729,47,122,40,3,6,34,1,1,3,1,1,1
690,40,119,35,2,9,28,1,1,1,1,1,1
596,40,83,36,2,16,34,1,0,3,1,1,1
876,45,116,35,3,10,29,1,1,2,2,2,2
841,40,109,45,3,13,36,1,0,3,2,2,2
975,40,97,39,3,8,31,1,1,3,2,2,2
750,40,104,36,2,15,33,1,0,0,1,1,1
745,40,94,40,3,17,36,0,0,2,1,1,1
900,40,103,38,2,15,37,1,0,3,2,2,2
1170,47,123,45,3,9,32,1,1,3,3,3,3
550,40,110,35,3,15,38,1,0,2,1,1,1
769,40,100,34,2,18,36,1,0,1,2,2,2
984,40,108,39,3,17,37,1,1,3,2,2,2
879,70,90,43,2,17,35,0,1,1,2,2,2
1027,45,115,41,2,16,35,1,1,3,2,2,2
1212,40,129,33,3,9,32,0,1,3,3,3,3
950,40,98,40,2,11,30,1,1,3,2,2,2
693,53,101,29,2,7,28,1,0,1,1,1,1
562,40,99,25,2,18,34,0,0,1,1,1,1
375,60,75,24,2,12,30,0,0,3,1,1,1
654,50,113,38,3,1,33,1,0,1,1,1,1
692,50,120,34,2,17,35,1,0,3,1,1,1
1111,40,98,32,3,10,29,1,1,3,3,3,3
1346,40,134,42,3,15,35,1,1,2,3,3,3
1424,50,96,47,3,15,37,1,1,2,3,3,3
854,48,120,38,3,8,29,0,1,2,2,2,2
888,50,105,36,3,9,32,0,1,2,2,2,2
1260,45,106,37,2,5,29,1,1,2,3,3,3
947,48,104,41,3,8,35,1,0,3,2,2,2
758,38,126,42,3,10,28,0,1,2,2,2,2
1442,40,112,42,2,19,36,1,1,3,3,3,3
1000,40,70,18,2,12,32,0,1,3,2,2,2
1200,50,84,13,2,13,32,1,1,3,3,3,3
1920,40,109,32,2,13,31,1,0,0,3,3,3
684,45,111,25,3,7,29,1,1,3,1,1,1
774,40,94,33,2,20,37,1,0,1,2,2,2
975,40,101,33,3,12,30,1,0,3,2,2,2
1366,40,90,35,2,13,30,1,1,3,3,3,3
729,60,80,31,2,16,34,1,1,3,1,1,1
