wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
808,50,119,41,3,11,37,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
1400,40,116,43,3,14,35,1,1,1,3,3,3
600,40,91,24,2,13,30,0,1,1,1,1,1
1000,40,95,44,2,16,36,1,1,1,2,2,2
930,43,132,44,3,8,38,1,0,1,2,2,2
958,50,105,37,2,17,35,1,1,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
471,44,101,34,2,13,31,1,1,3,1,1,1
1275,40,123,37,3,9,31,1,1,0,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
635,40,128,35,3,8,36,0,1,2,1,1,1
1424,50,98,41,3,15,35,1,1,1,3,3,3
2668,75,108,41,3,12,32,1,1,1,3,3,3
1779,40,132,42,3,8,32,1,1,1,3,3,3
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
692,40,108,48,2,21,38,1,1,3,1,1,1
1318,38,122,47,3,10,33,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1100,40,105,45,2,22,38,1,1,1,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
875,50,124,40,3,9,31,0,0,2,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
619,42,93,20,2,10,28,0,1,3,1,1,1
442,60,82,32,2,12,33,1,1,2,1,1,1
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1072,42,104,37,3,6,35,1,1,2,3,3,3
1040,40,115,49,3,8,35,1,1,3,2,2,2
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
672,61,96,38,2,13,34,1,1,2,1,1,1
1076,45,105,24,2,5,31,0,1,1,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
808,40,97,37,3,10,29,1,1,3,2,2,2
903,40,91,39,2,6,36,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1586,40,92,47,3,16,36,1,1,3,3,3,3
962,40,85,41,2,15,38,1,1,1,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
1205,40,86,32,2,13,32,1,1,3,3,3,3
654,50,111,51,3,5,38,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
1151,45,90,38,2,19,36,1,1,1,3,3,3
1031,40,112,24,3,9,29,1,1,3,2,2,2
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
809,65,125,32,2,11,29,1,1,0,2,2,2
800,40,112,39,2,15,34,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
1193,50,82,38,2,19,36,1,1,0,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
670,40,93,27,3,9,29,1,1,2,1,1,1
2404,50,106,38,3,8,32,1,1,2,3,3,3
1899,40,127,49,3,9,36,0,1,0,3,3,3
757,40,113,35,3,10,33,1,1,2,2,2,2
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
714,35,125,34,3,7,28,1,1,3,1,1,1
1318,35,118,47,3,16,37,1,0,1,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
942,40,85,36,2,7,38,1,1,3,2,2,2
1058,40,85,50,2,17,38,1,0,3,1,3,3
1000,60,101,30,2,11,30,1,1,3,2,2,2
951,60,116,40,2,9,30,1,1,3,2,2,2
635,47,91,24,2,13,31,1,1,2,1,1,1
1250,50,102,26,2,6,32,0,1,3,3,3,3
1100,40,122,38,3,11,33,1,1,2,3,3,3
618,42,104,34,2,6,30,1,1,3,1,1,1
962,50,124,43,3,7,34,1,1,2,2,2,2
529,40,110,31,3,14,32,1,0,1,1,1,1
817,40,95,37,2,16,33,1,0,2,2,2,2
840,40,105,39,2,19,38,1,0,3,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
1160,40,92,32,2,8,31,1,0,3,3,3,3
723,40,98,34,2,15,38,1,1,1,1,1,1
1903,48,118,44,3,13,36,1,0,0,3,3,3
670,45,117,33,2,10,30,1,0,3,1,1,1
500,45,90,47,2,19,37,1,0,0,1,1,1
1058,45,98,45,3,14,34,1,0,2,3,3,3
550,46,95,44,2,18,35,1,1,1,1,1,1
865,40,114,26,2,6,30,1,0,2,2,2,2
1081,40,92,34,3,8,30,1,1,3,3,3,3
1304,45,119,36,3,9,31,1,0,1,3,3,3
575,40,85,32,3,6,30,1,0,1,1,1,1
1273,55,84,42,3,14,37,1,1,1,3,3,3
990,40,108,42,3,13,33,1,0,3,2,2,2
600,40,107,32,2,16,33,1,0,3,1,1,1
1160,40,84,35,2,17,38,1,0,3,3,3,3
795,45,88,27,2,17,35,1,0,2,2,2,2
500,50,97,34,2,20,37,1,0,2,1,1,1
740,50,84,31,2,23,38,1,0,3,1,1,1
1014,55,110,42,3,13,30,0,1,1,2,2,2
1250,32,104,32,3,13,33,1,1,3,3,3,3
1346,40,99,33,3,9,30,1,1,2,3,3,3
445,40,80,31,2,19,38,1,0,3,1,1,1
265,40,101,43,2,18,37,1,1,1,1,1,1
1250,40,117,31,3,7,28,1,1,1,3,3,3
1607,56,108,41,3,7,36,1,1,2,3,3,3
1452,35,69,33,3,12,38,1,1,3,3,3,3
500,30,90,46,3,10,38,1,0,3,1,1,1
1730,50,117,41,3,12,37,1,1,1,3,3,3
1924,50,112,47,3,9,38,1,1,3,3,3,3
1155,60,106,46,3,10,37,1,1,3,3,3,3
2162,40,116,38,3,9,31,1,1,2,3,3,3
923,50,123,44,3,8,31,1,1,1,2,2,2
1115,40,118,40,3,12,33,1,1,1,3,3,3
937,40,102,36,2,16,35,1,1,3,2,2,2
1031,40,112,43,3,14,33,0,1,3,2,2,2
1272,40,107,39,2,10,30,1,1,3,3,3,3
1136,50,117,36,3,16,34,1,1,2,3,3,3
800,45,110,36,2,19,36,1,1,3,2,2,2
1339,38,96,42,2,8,33,1,1,0,3,3,3
1063,40,90,38,2,14,32,1,1,2,3,3,3
808,40,99,40,2,18,38,1,1,0,2,2,2
375,40,99,29,2,12,30,1,0,3,1,1,1
537,40,97,32,2,14,31,0,1,2,1,1,1
1155,40,109,49,3,13,38,1,0,3,3,3,3
548,40,86,22,2,7,33,1,1,3,1,1,1
841,40,102,38,3,10,29,1,1,3,2,2,2
769,55,105,45,3,7,38,0,1,2,2,2,2
587,38,117,40,3,8,29,1,0,3,1,1,1
1924,45,112,40,3,17,38,1,1,1,3,3,3
1154,40,98,35,3,18,37,1,1,1,3,3,3
1070,40,124,41,3,4,32,1,1,0,3,3,3
850,43,113,26,2,7,28,1,1,1,2,2,2
1000,40,102,46,3,13,35,1,1,3,2,2,2
490,49,82,33,3,7,31,0,1,2,1,1,1
1375,40,96,24,3,3,30,1,1,3,3,3,3
1602,65,97,47,3,14,37,1,1,1,3,3,3
3078,65,120,50,3,12,36,1,1,1,3,3,3
906,40,120,40,3,16,37,1,1,3,2,2,2
952,40,99,34,3,10,31,1,1,1,2,2,2
1444,40,120,50,3,12,37,1,1,1,3,3,3
909,55,97,39,2,17,35,1,1,3,2,2,2
