wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
600,40,91,24,2,13,30,0,1,1,1,1,1
1081,40,114,50,3,8,38,1,1,2,3,3,3
1154,45,111,37,3,13,36,1,0,2,3,3,3
921,38,102,45,3,9,33,1,0,1,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
830,44,105,29,3,4,29,1,1,3,2,2,2
1275,40,123,37,3,9,31,1,1,0,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
635,40,128,35,3,8,36,0,1,2,1,1,1
666,75,129,40,3,8,38,1,0,2,1,1,1
1779,40,132,42,3,8,32,1,1,1,3,3,3
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1748,55,125,50,3,12,34,1,1,1,3,3,3
770,40,105,34,3,7,30,1,1,3,2,2,2
1155,40,102,36,2,16,34,1,1,1,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
963,40,109,43,2,15,37,0,0,3,2,2,2
442,60,82,32,2,12,33,1,1,2,1,1,1
1643,48,117,48,3,8,33,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
857,35,80,39,2,14,33,1,1,2,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
750,40,94,18,2,16,37,1,1,3,1,1,1
833,48,96,37,3,9,31,1,1,3,2,2,2
650,40,69,37,2,14,30,1,1,3,1,1,1
1250,46,110,37,2,5,38,1,0,1,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
433,40,98,28,2,11,30,0,1,1,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
1151,45,90,38,2,19,36,1,1,1,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
800,40,88,32,2,16,38,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1899,40,127,49,3,9,36,0,1,0,3,3,3
757,40,113,35,3,10,33,1,1,2,2,2,2
1100,50,117,51,3,11,32,1,0,0,3,3,3
1318,35,118,47,3,16,37,1,0,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
1058,40,85,50,2,17,38,1,0,3,1,3,3
1000,60,101,30,2,11,30,1,1,3,2,2,2
951,60,116,40,2,9,30,1,1,3,2,2,2
675,40,110,34,2,6,34,1,1,2,1,1,1
577,50,94,17,2,9,29,1,1,2,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
1250,50,102,26,2,6,32,0,1,3,3,3,3
652,50,113,37,2,14,36,0,1,1,1,1,1
618,42,104,34,2,6,30,1,1,3,1,1,1
529,40,110,31,3,14,32,1,0,1,1,1,1
962,40,120,39,3,8,32,1,0,0,2,2,2
840,40,105,39,2,19,38,1,0,3,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
1160,40,92,32,2,8,31,1,0,3,3,3,3
1903,48,118,44,3,13,36,1,0,0,3,3,3
1010,40,97,42,3,7,34,1,1,3,2,2,2
