wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
1400,40,116,43,3,14,35,1,1,1,3,3,3
600,40,91,24,2,13,30,0,1,1,1,1,1
1081,40,114,50,3,8,38,1,1,2,3,3,3
1154,45,111,37,3,13,36,1,0,2,3,3,3
930,43,132,44,3,8,38,1,0,1,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
1360,45,109,39,3,6,36,1,1,3,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1417,48,125,41,3,9,34,1,1,3,3,3,3
635,40,128,35,3,8,36,0,1,2,1,1,1
1779,40,132,42,3,8,32,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1318,38,122,47,3,10,33,1,1,1,3,3,3
1748,55,125,50,3,12,34,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1154,40,134,46,3,10,37,1,1,2,3,3,3
875,50,124,40,3,9,31,0,0,2,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
963,40,109,43,2,15,37,0,0,3,2,2,2
600,40,120,45,3,12,38,1,0,3,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
1643,48,117,48,3,8,33,1,1,2,3,3,3
1455,40,109,44,3,8,36,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1072,42,104,37,3,6,35,1,1,2,3,3,3
1000,50,97,45,2,17,36,1,1,1,2,2,2
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
1200,40,96,48,2,15,37,1,1,3,3,3,3
1694,30,113,30,3,9,29,0,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
1076,45,105,24,2,5,31,0,1,1,3,3,3
1186,30,91,41,3,8,33,1,1,1,3,3,3
650,40,69,37,2,14,30,1,1,3,1,1,1
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
654,50,111,51,3,5,38,1,1,3,1,1,1
601,48,111,30,2,15,33,1,1,0,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
1151,45,90,38,2,19,36,1,1,1,3,3,3
1031,40,112,24,3,9,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
809,65,125,32,2,11,29,1,1,0,2,2,2
1346,50,128,46,3,10,33,0,0,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
1325,45,97,44,2,12,28,1,1,1,3,3,3
800,40,112,39,2,15,34,1,1,3,2,2,2
513,45,119,30,3,8,31,0,1,1,1,1,1
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
670,40,93,27,3,9,29,1,1,2,1,1,1
450,64,67,19,2,11,33,0,1,3,1,1,1
2404,50,106,38,3,8,32,1,1,2,3,3,3
1318,35,118,47,3,16,37,1,0,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
1058,40,85,50,2,17,38,1,0,3,1,3,3
750,40,106,32,3,9,29,1,1,1,1,1,1
951,60,116,40,2,9,30,1,1,3,2,2,2
675,40,110,34,2,6,34,1,1,2,1,1,1
577,50,94,17,2,9,29,1,1,2,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
923,50,122,38,3,10,31,1,0,1,2,2,2
652,50,113,37,2,14,36,0,1,1,1,1,1
618,42,104,34,2,6,30,1,1,3,1,1,1
866,40,121,30,3,7,28,1,0,1,2,2,2
1160,40,92,32,2,8,31,1,0,3,3,3,3
1778,40,109,43,3,14,36,1,1,0,3,3,3
