wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
562,40,74,27,2,14,34,1,1,3,1,1,1
1400,40,116,43,3,14,35,1,1,1,3,3,3
1081,40,114,50,3,8,38,1,1,2,3,3,3
1154,45,111,37,3,13,36,1,0,2,3,3,3
921,38,102,45,3,9,33,1,0,1,2,2,2
900,45,125,40,3,4,30,0,0,2,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
850,40,72,36,2,19,38,1,1,2,2,2,2
830,44,105,29,3,4,29,1,1,3,2,2,2
471,44,101,34,2,13,31,1,1,3,1,1,1
1275,40,123,37,3,9,31,1,1,0,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
1417,48,125,41,3,9,34,1,1,3,3,3,3
1424,50,98,41,3,15,35,1,1,1,3,3,3
2668,75,108,41,3,12,32,1,1,1,3,3,3
1779,40,132,42,3,8,32,1,1,1,3,3,3
1572,35,108,39,3,7,28,1,1,1,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1318,38,122,47,3,10,33,1,1,1,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1155,40,102,36,2,16,34,1,1,1,3,3,3
1100,40,105,45,2,22,38,1,1,1,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
1452,45,115,45,3,1,30,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1151,40,98,34,2,12,29,1,1,3,3,3,3
978,45,89,47,2,17,38,1,1,0,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
1366,38,122,38,2,15,32,1,1,1,3,3,3
1643,48,117,48,3,8,33,1,1,2,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
1694,30,113,30,3,9,29,0,1,3,3,3,3
857,35,80,39,2,14,33,1,1,2,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
750,40,94,18,2,16,37,1,1,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
650,40,69,37,2,14,30,1,1,3,1,1,1
865,40,110,35,3,1,31,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1586,40,92,47,3,16,36,1,1,3,3,3,3
962,40,85,41,2,15,38,1,1,1,2,2,2
770,48,91,39,2,13,38,1,1,1,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
601,48,111,30,2,15,33,1,1,0,1,1,1
600,40,106,32,3,10,28,1,1,3,1,1,1
1031,40,112,24,3,9,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
