wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
600,40,91,24,2,13,30,0,1,1,1,1,1
1000,40,95,44,2,16,36,1,1,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
958,50,105,37,2,17,35,1,1,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
850,40,72,36,2,19,38,1,1,2,2,2,2
471,44,101,34,2,13,31,1,1,3,1,1,1
1275,40,123,37,3,9,31,1,1,0,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
2137,45,145,50,3,17,38,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1000,40,103,40,2,17,34,1,1,1,2,2,2
666,75,129,40,3,8,38,1,0,2,1,1,1
782,40,92,24,3,9,31,1,1,3,2,2,2
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
808,60,109,47,3,14,38,1,1,2,2,2,2
1100,40,105,45,2,22,38,1,1,1,3,3,3
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
1748,55,123,48,3,10,36,1,1,1,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
442,60,82,32,2,12,33,1,1,2,1,1,1
600,40,120,45,3,12,38,1,0,3,1,1,1
1455,40,109,44,3,8,36,1,1,1,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
1694,30,113,30,3,9,29,0,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
601,48,111,30,2,15,33,1,1,0,1,1,1
600,40,106,32,3,10,28,1,1,3,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1495,45,109,34,3,10,32,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
800,40,112,39,2,15,34,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
