wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
825,40,108,46,3,11,33,1,1,1,2,2,2
562,40,74,27,2,14,34,1,1,3,1,1,1
1400,40,116,43,3,14,35,1,1,1,3,3,3
1081,40,114,50,3,8,38,1,1,2,3,3,3
1154,45,111,37,3,13,36,1,0,2,3,3,3
930,43,132,44,3,8,38,1,0,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
850,40,72,36,2,19,38,1,1,2,2,2,2
830,44,105,29,3,4,29,1,1,3,2,2,2
471,44,101,34,2,13,31,1,1,3,1,1,1
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
635,40,128,35,3,8,36,0,1,2,1,1,1
1000,40,103,40,2,17,34,1,1,1,2,2,2
2668,75,108,41,3,12,32,1,1,1,3,3,3
1779,40,132,42,3,8,32,1,1,1,3,3,3
1572,35,108,39,3,7,28,1,1,1,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1748,55,125,50,3,12,34,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1155,40,102,36,2,16,34,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1749,40,108,32,2,13,29,0,1,3,3,3,3
462,40,112,35,2,11,29,1,1,3,1,1,1
1748,55,123,48,3,10,36,1,1,1,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
600,40,120,45,3,12,38,1,0,3,1,1,1
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1040,40,115,49,3,8,35,1,1,3,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
754,40,104,37,3,9,32,1,1,1,2,1,1
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
1076,45,105,24,2,5,31,0,1,1,3,3,3
750,40,94,18,2,16,37,1,1,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
1250,46,110,37,2,5,38,1,0,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
625,40,110,32,2,18,35,1,1,3,1,1,1
962,40,85,41,2,15,38,1,1,1,2,2,2
1110,52,106,42,2,11,33,1,0,3,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
895,40,86,39,2,17,38,1,0,2,2,2,2
600,40,106,32,3,10,28,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
1225,40,118,44,3,9,32,1,1,0,3,3,3
1049,55,120,39,2,9,32,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1346,40,90,44,3,9,38,1,1,1,3,3,3
809,65,125,32,2,11,29,1,1,0,2,2,2
1495,45,109,34,3,10,32,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
900,40,78,21,2,16,33,1,1,3,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
2771,50,134,45,3,6,34,1,1,3,3,3,3
950,60,98,36,2,13,31,1,1,2,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
1495,45,113,50,3,13,33,1,1,3,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1126,40,119,30,3,5,32,1,1,1,3,3,3
1028,40,111,28,2,19,37,1,1,3,2,2,2
757,40,113,35,3,10,33,1,1,2,2,2,2
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
714,35,125,34,3,7,28,1,1,3,1,1,1
1273,55,120,44,3,11,36,1,0,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
942,40,85,36,2,7,38,1,1,3,2,2,2
1000,60,101,30,2,11,30,1,1,3,2,2,2
1250,40,91,28,2,13,34,1,1,3,3,3,3
400,40,75,33,2,11,32,1,1,3,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
1250,50,102,26,2,6,32,0,1,3,3,3,3
618,42,104,34,2,6,30,1,1,3,1,1,1
529,40,110,31,3,14,32,1,0,1,1,1,1
817,40,95,37,2,16,33,1,0,2,2,2,2
962,40,120,39,3,8,32,1,0,0,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
2404,50,96,42,3,1,36,1,1,3,3,3,3
1160,40,92,32,2,8,31,1,0,3,3,3,3
723,40,98,34,2,15,38,1,1,1,1,1,1
1778,40,109,43,3,14,36,1,1,0,3,3,3
1903,48,118,44,3,13,36,1,0,0,3,3,3
971,40,95,42,3,5,37,1,1,1,2,2,2
500,45,90,47,2,19,37,1,0,0,1,1,1
1058,45,98,45,3,14,34,1,0,2,3,3,3
727,55,106,40,3,10,31,0,1,1,1,1,1
865,40,114,26,2,6,30,1,0,2,2,2,2
1304,45,119,36,3,9,31,1,0,1,3,3,3
575,40,85,32,3,6,30,1,0,1,1,1,1
623,45,98,34,3,7,30,1,0,3,1,1,1
515,45,114,30,3,8,28,1,0,3,1,1,1
600,40,107,32,2,16,33,1,0,3,1,1,1
1160,40,84,35,2,17,38,1,0,3,3,3,3
500,50,97,34,2,20,37,1,0,2,1,1,1
913,40,110,26,3,4,29,1,1,3,2,2,2
445,40,80,31,2,19,38,1,0,3,1,1,1
1607,56,108,41,3,7,36,1,1,2,3,3,3
1452,35,69,33,3,12,38,1,1,3,3,3,3
1391,50,109,38,2,14,32,1,1,1,3,3,3
520,50,107,30,3,6,29,1,0,3,1,1,1
1924,50,112,47,3,9,38,1,1,3,3,3,3
923,50,123,44,3,8,31,1,1,1,2,2,2
1115,40,118,40,3,12,33,1,1,1,3,3,3
449,36,91,20,2,7,30,0,1,1,1,1,1
937,40,102,36,2,16,35,1,1,3,2,2,2
1272,40,107,39,2,10,30,1,1,3,3,3,3
1136,50,117,36,3,16,34,1,1,2,3,3,3
800,45,110,36,2,19,36,1,1,3,2,2,2
375,40,99,29,2,12,30,1,0,3,1,1,1
537,40,97,32,2,14,31,0,1,2,1,1,1
1082,55,95,40,2,11,29,1,1,2,3,3,3
841,40,102,38,3,10,29,1,1,3,2,2,2
587,38,117,40,3,8,29,1,0,3,1,1,1
1058,40,89,28,2,7,29,1,1,2,3,3,3
417,48,131,39,2,7,28,0,1,1,1,1,1
1154,40,98,35,3,18,37,1,1,1,3,3,3
1202,40,84,21,3,6,31,1,1,2,3,3,3
1000,40,112,47,3,15,35,1,1,3,2,2,2
1586,40,127,48,3,16,37,1,1,3,3,3,3
3078,65,120,50,3,12,36,1,1,1,3,3,3
952,40,99,34,3,10,31,1,1,1,2,2,2
289,40,94,35,2,9,30,1,1,2,1,1,1
620,40,99,22,2,10,29,1,1,3,1,1,1
1050,40,119,37,3,7,37,0,1,2,2,2,2
654,50,121,49,3,12,34,1,1,1,1,1,1
1202,40,101,40,3,15,37,1,1,3,3,3,3
666,70,117,34,3,8,32,1,1,0,1,1,1
