wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
825,40,108,46,3,11,33,1,1,1,2,2,2
1400,40,116,43,3,14,35,1,1,1,3,3,3
1081,40,114,50,3,8,38,1,1,2,3,3,3
1792,40,118,47,3,9,34,1,1,1,3,3,3
850,40,72,36,2,19,38,1,1,2,2,2,2
830,44,105,29,3,4,29,1,1,3,2,2,2
1275,40,123,37,3,9,31,1,1,0,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1417,48,125,41,3,9,34,1,1,3,3,3,3
635,40,128,35,3,8,36,0,1,2,1,1,1
1000,40,103,40,2,17,34,1,1,1,2,2,2
1424,50,98,41,3,15,35,1,1,1,3,3,3
1779,40,132,42,3,8,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1274,40,106,35,3,11,31,1,1,0,3,3,3
714,35,105,37,3,9,29,1,1,1,1,1,1
692,40,108,48,2,21,38,1,1,3,1,1,1
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
1154,50,94,37,3,11,33,1,1,1,3,3,3
1154,40,134,46,3,10,37,1,1,2,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1375,40,103,34,2,12,29,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
978,45,89,47,2,17,38,1,1,0,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
1643,48,117,48,3,8,33,1,1,2,3,3,3
1455,40,109,44,3,8,36,1,1,1,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1072,42,104,37,3,6,35,1,1,2,3,3,3
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
686,55,106,38,2,15,36,1,1,3,1,1,1
857,35,80,39,2,14,33,1,1,2,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
865,40,110,35,3,1,31,1,1,3,2,2,2
1299,60,125,44,3,6,35,0,1,1,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1539,45,120,36,3,7,34,1,1,1,3,3,3
1110,52,106,42,2,11,33,1,0,3,3,3,3
770,48,91,39,2,13,38,1,1,1,2,2,2
1000,45,90,42,2,16,38,1,1,3,2,2,2
750,40,113,27,2,11,29,1,0,1,1,1,1
601,48,111,30,2,15,33,1,1,0,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1151,45,90,38,2,19,36,1,1,1,3,3,3
1031,40,112,24,3,9,29,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1495,45,109,34,3,10,32,1,1,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
900,40,78,21,2,16,33,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
513,45,119,30,3,8,31,0,1,1,1,1,1
1105,40,93,36,2,17,37,0,1,2,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1126,40,119,30,3,5,32,1,1,1,3,3,3
1028,40,111,28,2,19,37,1,1,3,2,2,2
2404,50,106,38,3,8,32,1,1,2,3,3,3
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
1318,35,118,47,3,16,37,1,0,1,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
750,40,106,32,3,9,29,1,1,1,1,1,1
400,40,75,33,2,11,32,1,1,3,1,1,1
577,50,94,17,2,9,29,1,1,2,1,1,1
1100,40,122,38,3,11,33,1,1,2,3,3,3
1130,50,105,38,2,18,37,1,1,3,3,3,3
529,40,110,31,3,14,32,1,0,1,1,1,1
2404,50,96,42,3,1,36,1,1,3,3,3,3
1126,40,110,26,2,16,32,1,1,3,3,3,3
1778,40,109,43,3,14,36,1,1,0,3,3,3
1903,48,118,44,3,13,36,1,0,0,3,3,3
971,40,95,42,3,5,37,1,1,1,2,2,2
525,40,99,40,2,9,34,1,1,2,1,1,1
670,45,117,33,2,10,30,1,0,3,1,1,1
500,45,90,47,2,19,37,1,0,0,1,1,1
1058,45,98,45,3,14,34,1,0,2,3,3,3
550,46,95,44,2,18,35,1,1,1,1,1,1
500,45,115,43,2,14,32,1,1,1,1,1,1
727,55,106,40,3,10,31,0,1,1,1,1,1
1081,40,92,34,3,8,30,1,1,3,3,3,3
623,45,98,34,3,7,30,1,0,3,1,1,1
1273,55,84,42,3,14,37,1,1,1,3,3,3
600,40,107,32,2,16,33,1,0,3,1,1,1
500,55,86,22,2,11,29,1,0,3,1,1,1
500,50,97,34,2,20,37,1,0,2,1,1,1
1250,40,117,45,3,10,33,1,1,1,3,3,3
1014,55,110,42,3,13,30,0,1,1,2,2,2
913,40,110,26,3,4,29,1,1,3,2,2,2
1607,56,108,41,3,7,36,1,1,2,3,3,3
1391,50,109,38,2,14,32,1,1,1,3,3,3
794,40,114,36,3,9,29,1,1,1,2,2,2
500,30,90,46,3,10,38,1,0,3,1,1,1
1924,50,112,47,3,9,38,1,1,3,3,3,3
1115,40,118,40,3,12,33,1,1,1,3,3,3
449,36,91,20,2,7,30,0,1,1,1,1,1
826,40,114,40,3,20,37,1,1,3,2,2,2
1136,50,117,36,3,16,34,1,1,2,3,3,3
800,45,110,36,2,19,36,1,1,3,2,2,2
935,44,97,27,2,10,29,1,1,2,2,2,2
537,40,97,32,2,14,31,0,1,2,1,1,1
1082,55,95,40,2,11,29,1,1,2,3,3,3
548,40,86,22,2,7,33,1,1,3,1,1,1
622,45,119,48,3,12,33,1,1,0,1,1,1
769,55,105,45,3,7,38,0,1,2,2,2,2
417,48,131,39,2,7,28,0,1,1,1,1,1
1202,48,114,28,3,6,28,1,1,3,3,3,3
1070,40,124,41,3,4,32,1,1,0,3,3,3
711,45,100,38,3,13,36,1,1,1,1,1,1
1202,40,84,21,3,6,31,1,1,2,3,3,3
850,43,113,26,2,7,28,1,1,1,2,2,2
490,49,82,33,3,7,31,0,1,2,1,1,1
865,40,111,38,3,11,31,1,1,3,2,2,2
1375,40,96,24,3,3,30,1,1,3,3,3,3
1602,65,97,47,3,14,37,1,1,1,3,3,3
3078,65,120,50,3,12,36,1,1,1,3,3,3
571,40,78,33,3,10,29,0,1,3,1,1,1
445,45,110,23,2,15,32,0,1,2,1,1,1
289,40,94,35,2,9,30,1,1,2,1,1,1
1444,40,120,50,3,12,37,1,1,1,3,3,3
1075,40,103,31,2,17,33,1,1,3,3,3,3
620,40,99,22,2,10,29,1,1,3,1,1,1
1016,40,72,18,2,14,37,1,1,3,2,2,2
1050,40,119,37,3,7,37,0,1,2,2,2,2
1079,50,87,33,2,18,36,1,1,3,3,3,3
654,50,121,49,3,12,34,1,1,1,1,1,1
1038,48,103,36,3,8,36,1,0,2,2,2,2
905,45,109,41,3,11,36,1,1,3,2,2,2
812,40,98,42,2,10,29,0,1,3,2,2,2
756,40,78,29,3,9,31,1,1,2,2,2,2
1025,40,104,25,2,12,29,1,1,3,2,2,2
1350,40,107,37,2,17,35,1,0,2,3,3,3
1001,40,109,48,2,20,37,1,1,1,2,2,2
796,48,119,31,3,16,37,1,1,3,2,2,2
1230,50,96,33,3,11,30,1,1,3,3,3,3
754,40,93,31,2,13,30,1,1,3,1,1,1
714,40,90,32,2,17,37,1,0,3,1,1,1
2067,40,106,41,3,12,33,1,1,2,3,3,3
951,40,86,33,2,13,31,1,1,3,2,2,2
1151,48,87,41,2,18,38,1,1,2,3,3,3
841,44,106,40,2,15,31,1,1,3,2,2,2
1175,45,111,38,2,17,34,1,1,0,3,3,3
1202,40,100,40,2,18,37,1,1,0,3,3,3
750,60,74,23,2,13,30,1,1,3,1,1,1
841,48,110,37,3,13,37,0,1,1,2,2,2
800,45,98,31,2,16,33,1,0,3,2,2,2
475,52,98,33,3,12,30,0,1,3,1,1,1
962,40,120,33,2,18,36,1,1,3,2,2,2
721,40,134,38,3,9,30,0,1,3,1,1,1
800,50,92,28,2,18,34,1,1,0,2,2,2
658,40,129,34,3,11,30,1,1,2,1,1,1
1270,40,118,42,3,4,36,1,1,2,3,3,3
824,42,92,37,2,19,38,1,1,1,2,2,2
1442,40,118,33,3,6,29,1,1,2,3,3,3
1100,40,91,41,2,18,36,1,0,2,3,3,3
1000,45,118,38,3,9,30,1,1,3,2,2,2
523,43,119,37,3,9,30,1,0,3,1,1,1
1111,40,103,33,3,13,31,1,0,3,3,3,3
962,40,120,25,3,6,28,1,0,3,2,2,2
850,44,115,37,2,11,29,1,1,3,2,2,2
670,40,88,27,2,9,29,1,1,3,1,1,1
1442,40,123,42,3,14,38,1,0,2,3,3,3
975,40,97,39,3,8,31,1,1,3,2,2,2
1223,40,107,34,2,7,28,1,0,1,3,3,3
533,45,109,31,3,8,30,1,1,2,1,1,1
750,40,104,36,2,15,33,1,0,0,1,1,1
745,40,94,40,3,17,36,0,0,2,1,1,1
900,40,103,38,2,15,37,1,0,3,2,2,2
1170,47,123,45,3,9,32,1,1,3,3,3,3
615,40,100,31,3,9,30,1,0,3,1,1,1
833,60,101,47,2,15,37,1,1,3,2,2,2
1027,45,115,41,2,16,35,1,1,3,2,2,2
465,43,84,33,3,10,29,1,1,3,1,1,1
641,45,125,44,3,9,37,1,1,1,1,1,1
1035,48,107,42,2,21,38,1,1,1,2,2,2
950,40,98,40,2,11,30,1,1,3,2,2,2
562,40,99,25,2,18,34,0,0,1,1,1,1
692,50,120,34,2,17,35,1,0,3,1,1,1
1111,40,98,32,3,10,29,1,1,3,3,3,3
1368,45,107,31,3,11,33,1,1,2,3,3,3
1282,45,121,39,3,7,32,1,1,2,3,3,3
1250,60,115,40,2,19,38,1,1,1,3,3,3
1346,40,134,42,3,15,35,1,1,2,3,3,3
854,48,120,38,3,8,29,0,1,2,2,2,2
1161,50,121,40,2,5,34,1,1,3,3,3,3
489,55,104,47,3,20,38,1,1,2,1,1,1
1126,40,116,33,2,5,31,1,1,3,3,3,3
1000,40,70,18,2,12,32,0,1,3,2,2,2
1200,50,84,13,2,13,32,1,1,3,3,3,3
565,45,82,30,2,15,33,1,0,3,1,1,1
1920,40,109,32,2,13,31,1,0,0,3,3,3
774,40,94,33,2,20,37,1,0,1,2,2,2
1366,40,90,35,2,13,30,1,1,3,3,3,3
750,45,93,45,2,17,36,1,1,1,1,1,1
1111,45,118,43,3,11,32,1,1,3,3,3,3
1154,40,109,42,3,12,34,1,1,0,3,3,3
610,50,89,21,2,14,30,1,0,1,1,1,1
1749,43,101,28,2,16,36,1,0,2,3,3,3
