wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
808,50,119,41,3,11,37,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
1154,45,111,37,3,13,36,1,0,2,3,3,3
1000,40,95,44,2,16,36,1,1,1,2,2,2
930,43,132,44,3,8,38,1,0,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
850,40,72,36,2,19,38,1,1,2,2,2,2
471,44,101,34,2,13,31,1,1,3,1,1,1
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
800,40,115,39,3,11,35,1,1,0,1,2,2
1417,48,125,41,3,9,34,1,1,3,3,3,3
635,40,128,35,3,8,36,0,1,2,1,1,1
1000,40,103,40,2,17,34,1,1,1,2,2,2
1424,50,98,41,3,15,35,1,1,1,3,3,3
666,75,129,40,3,8,38,1,0,2,1,1,1
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1155,40,102,36,2,16,34,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
875,50,124,40,3,9,31,0,0,2,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
963,40,109,43,2,15,37,0,0,3,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
600,40,120,45,3,12,38,1,0,3,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1694,30,113,30,3,9,29,0,1,3,3,3,3
754,40,104,37,3,9,32,1,1,1,2,1,1
857,35,80,39,2,14,33,1,1,2,2,2,2
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
1076,45,105,24,2,5,31,0,1,1,3,3,3
1186,30,91,41,3,8,33,1,1,1,3,3,3
833,48,96,37,3,9,31,1,1,3,2,2,2
1250,46,110,37,2,5,38,1,0,1,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
900,40,86,28,2,17,37,1,1,3,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
600,40,106,32,3,10,28,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
1495,45,109,34,3,10,32,1,1,3,3,3,3
1346,50,128,46,3,10,33,0,0,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
800,40,112,39,2,15,34,1,1,3,2,2,2
1034,40,97,39,2,15,36,1,1,3,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
513,45,119,30,3,8,31,0,1,1,1,1,1
1105,40,93,36,2,17,37,0,1,2,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
1495,45,113,50,3,13,33,1,1,3,3,3,3
670,40,93,27,3,9,29,1,1,2,1,1,1
450,64,67,19,2,11,33,0,1,3,1,1,1
2404,50,106,38,3,8,32,1,1,2,3,3,3
1899,40,127,49,3,9,36,0,1,0,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1100,50,117,51,3,11,32,1,0,0,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1140,48,109,43,2,16,35,1,1,2,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
750,40,106,32,3,9,29,1,1,1,1,1,1
1000,60,101,30,2,11,30,1,1,3,2,2,2
951,60,116,40,2,9,30,1,1,3,2,2,2
1250,40,91,28,2,13,34,1,1,3,3,3,3
577,50,94,17,2,9,29,1,1,2,1,1,1
590,40,109,27,3,10,29,1,0,2,1,1,1
1250,50,102,26,2,6,32,0,1,3,3,3,3
817,40,95,37,2,16,33,1,0,2,2,2,2
962,40,120,39,3,8,32,1,0,0,2,2,2
866,40,121,30,3,7,28,1,0,1,2,2,2
2404,50,96,42,3,1,36,1,1,3,3,3,3
1126,40,110,26,2,16,32,1,1,3,3,3,3
1778,40,109,43,3,14,36,1,1,0,3,3,3
1903,48,118,44,3,13,36,1,0,0,3,3,3
971,40,95,42,3,5,37,1,1,1,2,2,2
525,40,106,31,2,12,30,1,0,1,1,1,1
500,45,90,47,2,19,37,1,0,0,1,1,1
550,46,95,44,2,18,35,1,1,1,1,1,1
500,45,115,43,2,14,32,1,1,1,1,1,1
727,55,106,40,3,10,31,0,1,1,1,1,1
865,40,114,26,2,6,30,1,0,2,2,2,2
623,45,98,34,3,7,30,1,0,3,1,1,1
515,45,114,30,3,8,28,1,0,3,1,1,1
1273,55,84,42,3,14,37,1,1,1,3,3,3
1160,40,84,35,2,17,38,1,0,3,3,3,3
913,40,110,26,3,4,29,1,1,3,2,2,2
1346,40,99,33,3,9,30,1,1,2,3,3,3
265,40,101,43,2,18,37,1,1,1,1,1,1
1607,56,108,41,3,7,36,1,1,2,3,3,3
1452,35,69,33,3,12,38,1,1,3,3,3,3
1391,50,109,38,2,14,32,1,1,1,3,3,3
821,45,85,39,3,8,32,1,1,3,2,2,2
500,30,90,46,3,10,38,1,0,3,1,1,1
520,50,107,30,3,6,29,1,0,3,1,1,1
1730,50,117,41,3,12,37,1,1,1,3,3,3
2162,40,116,38,3,9,31,1,1,2,3,3,3
923,50,123,44,3,8,31,1,1,1,2,2,2
1115,40,118,40,3,12,33,1,1,1,3,3,3
1500,40,103,29,2,10,34,1,1,2,3,3,3
826,40,114,40,3,20,37,1,1,3,2,2,2
937,40,102,36,2,16,35,1,1,3,2,2,2
978,48,104,36,2,19,36,1,1,3,2,2,2
1031,40,112,43,3,14,33,0,1,3,2,2,2
1136,50,117,36,3,16,34,1,1,2,3,3,3
1339,38,96,42,2,8,33,1,1,0,3,3,3
1063,40,90,38,2,14,32,1,1,2,3,3,3
537,40,97,32,2,14,31,0,1,2,1,1,1
1082,55,95,40,2,11,29,1,1,2,3,3,3
548,40,86,22,2,7,33,1,1,3,1,1,1
622,45,119,48,3,12,33,1,1,0,1,1,1
841,40,102,38,3,10,29,1,1,3,2,2,2
587,38,117,40,3,8,29,1,0,3,1,1,1
1924,45,112,40,3,17,38,1,1,1,3,3,3
1202,48,114,28,3,6,28,1,1,3,3,3,3
1154,40,98,35,3,18,37,1,1,1,3,3,3
1202,40,84,21,3,6,31,1,1,2,3,3,3
1000,40,102,46,3,13,35,1,1,3,2,2,2
1000,40,112,47,3,15,35,1,1,3,2,2,2
1375,40,96,24,3,3,30,1,1,3,3,3,3
1586,40,127,48,3,16,37,1,1,3,3,3,3
3078,65,120,50,3,12,36,1,1,1,3,3,3
898,40,101,41,3,7,35,0,1,3,2,2,2
289,40,94,35,2,9,30,1,1,2,1,1,1
1250,40,106,36,2,14,35,1,1,3,3,3,3
800,40,88,29,2,21,37,1,1,3,2,2,2
654,50,121,49,3,12,34,1,1,1,1,1,1
666,70,117,34,3,8,32,1,1,0,1,1,1
905,45,109,41,3,11,36,1,1,3,2,2,2
817,40,116,27,3,10,31,1,0,1,2,2,2
1011,40,104,43,2,20,37,1,1,0,2,2,2
1025,40,104,25,2,12,29,1,1,3,2,2,2
