wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
825,40,108,46,3,11,33,1,1,1,2,2,2
650,40,96,32,2,13,32,1,1,3,1,1,1
562,40,74,27,2,14,34,1,1,3,1,1,1
600,40,91,24,2,13,30,0,1,1,1,1,1
1000,40,95,44,2,16,36,1,1,1,2,2,2
930,43,132,44,3,8,38,1,0,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
900,45,125,40,3,4,30,0,0,2,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
958,50,105,37,2,17,35,1,1,1,2,2,2
1360,45,109,39,3,6,36,1,1,3,3,3,3
471,44,101,34,2,13,31,1,1,3,1,1,1
1275,40,123,37,3,9,31,1,1,0,3,3,3
1615,50,113,49,3,10,36,1,1,2,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
1417,48,125,41,3,9,34,1,1,3,3,3,3
2668,75,108,41,3,12,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1274,40,106,35,3,11,31,1,1,0,3,3,3
714,35,105,37,3,9,29,1,1,1,1,1,1
692,40,108,48,2,21,38,1,1,3,1,1,1
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
1151,40,98,34,2,12,29,1,1,3,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
978,45,89,47,2,17,38,1,1,0,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
442,60,82,32,2,12,33,1,1,2,1,1,1
600,40,120,45,3,12,38,1,0,3,1,1,1
1643,48,117,48,3,8,33,1,1,2,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1072,42,104,37,3,6,35,1,1,2,3,3,3
1100,37,100,32,2,14,30,1,1,1,3,3,3
1200,40,96,48,2,15,37,1,1,3,3,3,3
1694,30,113,30,3,9,29,0,1,3,3,3,3
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
857,35,80,39,2,14,33,1,1,2,2,2,2
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
672,61,96,38,2,13,34,1,1,2,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
1122,48,111,44,3,12,31,1,1,3,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
808,40,97,37,3,10,29,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
962,40,85,41,2,15,38,1,1,1,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1282,45,112,41,3,6,31,0,1,2,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
895,40,86,39,2,17,38,1,0,2,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1924,50,121,40,3,11,35,1,1,3,3,3,3
1495,45,109,34,3,10,32,1,1,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
900,40,78,21,2,16,33,1,1,3,2,2,2
800,40,112,39,2,15,34,1,1,3,2,2,2
884,40,106,42,2,19,34,1,1,2,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
1105,40,93,36,2,17,37,0,1,2,3,3,3
1193,50,82,38,2,19,36,1,1,0,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
1394,40,118,41,3,11,30,1,0,2,3,3,3
1495,45,113,50,3,13,33,1,1,3,3,3,3
650,40,100,18,2,4,28,1,1,3,1,1,1
1028,40,111,28,2,19,37,1,1,3,2,2,2
1899,40,127,49,3,9,36,0,1,0,3,3,3
757,40,113,35,3,10,33,1,1,2,2,2,2
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
1025,40,85,29,3,9,29,1,1,3,2,2,2
1100,50,117,51,3,11,32,1,0,0,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
