wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
562,40,74,27,2,14,34,1,1,3,1,1,1
1400,40,116,43,3,14,35,1,1,1,3,3,3
600,40,91,24,2,13,30,0,1,1,1,1,1
1000,40,95,44,2,16,36,1,1,1,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
830,44,105,29,3,4,29,1,1,3,2,2,2
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
1602,60,124,32,3,8,29,1,1,3,3,3,3
1188,40,93,40,3,16,35,1,1,2,3,3,3
1417,48,125,41,3,9,34,1,1,3,3,3,3
1000,40,103,40,2,17,34,1,1,1,2,2,2
666,75,129,40,3,8,38,1,0,2,1,1,1
1274,40,106,35,3,11,31,1,1,0,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
692,40,108,48,2,21,38,1,1,3,1,1,1
1318,38,122,47,3,10,33,1,1,1,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
1154,50,94,37,3,11,33,1,1,1,3,3,3
1100,40,105,45,2,22,38,1,1,1,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
875,50,124,40,3,9,31,0,0,2,2,2,2
442,60,82,32,2,12,33,1,1,2,1,1,1
1643,48,117,48,3,8,33,1,1,2,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
1040,40,115,49,3,8,35,1,1,3,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
1200,40,96,48,2,15,37,1,1,3,3,3,3
1694,30,113,30,3,9,29,0,1,3,3,3,3
754,40,104,37,3,9,32,1,1,1,2,1,1
857,35,80,39,2,14,33,1,1,2,2,2,2
832,50,104,30,3,4,30,1,1,1,2,2,2
579,44,122,36,3,8,30,1,0,3,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
750,40,94,18,2,16,37,1,1,3,1,1,1
1186,30,91,41,3,8,33,1,1,1,3,3,3
650,40,69,37,2,14,30,1,1,3,1,1,1
1250,46,110,37,2,5,38,1,0,1,3,3,3
1299,60,125,44,3,6,35,0,1,1,3,3,3
903,40,91,39,2,6,36,1,1,3,2,2,2
900,40,86,28,2,17,37,1,1,3,2,2,2
1586,40,92,47,3,16,36,1,1,3,3,3,3
962,40,85,41,2,15,38,1,1,1,2,2,2
1539,45,120,36,3,7,34,1,1,1,3,3,3
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
654,50,111,51,3,5,38,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
1188,40,105,28,2,11,30,1,1,3,3,3,3
635,40,105,29,2,15,33,1,0,2,1,1,1
1225,40,118,44,3,9,32,1,1,0,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1105,40,103,32,3,10,30,1,1,1,3,3,3
1924,50,121,40,3,11,35,1,1,3,3,3,3
1346,40,90,44,3,9,38,1,1,1,3,3,3
809,65,125,32,2,11,29,1,1,0,2,2,2
1495,45,109,34,3,10,32,1,1,3,3,3,3
500,40,96,35,2,6,33,1,1,3,1,1,1
1325,45,97,44,2,12,28,1,1,1,3,3,3
900,40,78,21,2,16,33,1,1,3,2,2,2
800,40,112,39,2,15,34,1,1,3,2,2,2
800,40,88,32,2,16,38,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
1105,40,93,36,2,17,37,0,1,2,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
1394,40,118,41,3,11,30,1,0,2,3,3,3
450,64,67,19,2,11,33,0,1,3,1,1,1
757,40,113,35,3,10,33,1,1,2,2,2,2
1025,40,85,29,3,9,29,1,1,3,2,2,2
1100,50,117,51,3,11,32,1,0,0,3,3,3
1411,45,121,40,3,14,38,1,1,3,3,3,3
2162,40,115,51,3,4,38,1,1,1,3,3,3
1273,55,120,44,3,11,36,1,0,1,3,3,3
578,40,109,28,3,7,30,0,1,1,1,1,1
750,40,106,32,3,9,29,1,1,1,1,1,1
1000,60,101,30,2,11,30,1,1,3,2,2,2
951,60,116,40,2,9,30,1,1,3,2,2,2
1250,40,91,28,2,13,34,1,1,3,3,3,3
675,40,110,34,2,6,34,1,1,2,1,1,1
400,40,75,33,2,11,32,1,1,3,1,1,1
577,50,94,17,2,9,29,1,1,2,1,1,1
1250,50,102,26,2,6,32,0,1,3,3,3,3
1100,40,122,38,3,11,33,1,1,2,3,3,3
529,40,110,31,3,14,32,1,0,1,1,1,1
962,40,120,39,3,8,32,1,0,0,2,2,2
840,40,105,39,2,19,38,1,0,3,2,2,2
1160,40,92,32,2,8,31,1,0,3,3,3,3
1778,40,109,43,3,14,36,1,1,0,3,3,3
525,40,99,40,2,9,34,1,1,2,1,1,1
525,40,106,31,2,12,30,1,0,1,1,1,1
500,45,90,47,2,19,37,1,0,0,1,1,1
500,45,115,43,2,14,32,1,1,1,1,1,1
575,40,85,32,3,6,30,1,0,1,1,1,1
1273,55,84,42,3,14,37,1,1,1,3,3,3
990,40,108,42,3,13,33,1,0,3,2,2,2
600,40,107,32,2,16,33,1,0,3,1,1,1
795,45,88,27,2,17,35,1,0,2,2,2,2
740,50,84,31,2,23,38,1,0,3,1,1,1
1014,55,110,42,3,13,30,0,1,1,2,2,2
1250,32,104,32,3,13,33,1,1,3,3,3,3
445,40,80,31,2,19,38,1,0,3,1,1,1
1250,40,117,31,3,7,28,1,1,1,3,3,3
1607,56,108,41,3,7,36,1,1,2,3,3,3
821,45,85,39,3,8,32,1,1,3,2,2,2
500,30,90,46,3,10,38,1,0,3,1,1,1
520,50,107,30,3,6,29,1,0,3,1,1,1
923,50,123,44,3,8,31,1,1,1,2,2,2
1500,40,103,29,2,10,34,1,1,2,3,3,3
826,40,114,40,3,20,37,1,1,3,2,2,2
937,40,102,36,2,16,35,1,1,3,2,2,2
1136,50,117,36,3,16,34,1,1,2,3,3,3
800,45,110,36,2,19,36,1,1,3,2,2,2
1339,38,96,42,2,8,33,1,1,0,3,3,3
1063,40,90,38,2,14,32,1,1,2,3,3,3
808,40,99,40,2,18,38,1,1,0,2,2,2
375,40,99,29,2,12,30,1,0,3,1,1,1
537,40,97,32,2,14,31,0,1,2,1,1,1
1082,55,95,40,2,11,29,1,1,2,3,3,3
548,40,86,22,2,7,33,1,1,3,1,1,1
622,45,119,48,3,12,33,1,1,0,1,1,1
769,55,105,45,3,7,38,0,1,2,2,2,2
1924,45,112,40,3,17,38,1,1,1,3,3,3
417,48,131,39,2,7,28,0,1,1,1,1,1
1202,48,114,28,3,6,28,1,1,3,3,3,3
1070,40,124,41,3,4,32,1,1,0,3,3,3
1202,40,125,30,3,10,29,1,1,2,3,3,3
711,45,100,38,3,13,36,1,1,1,1,1,1
1202,40,84,21,3,6,31,1,1,2,3,3,3
1000,40,102,46,3,13,35,1,1,3,2,2,2
490,49,82,33,3,7,31,0,1,2,1,1,1
1000,40,112,47,3,15,35,1,1,3,2,2,2
1586,40,127,48,3,16,37,1,1,3,3,3,3
1602,65,97,47,3,14,37,1,1,1,3,3,3
898,40,101,41,3,7,35,0,1,3,2,2,2
906,40,120,40,3,16,37,1,1,3,2,2,2
952,40,99,34,3,10,31,1,1,1,2,2,2
289,40,94,35,2,9,30,1,1,2,1,1,1
1444,40,120,50,3,12,37,1,1,1,3,3,3
962,55,108,45,2,19,36,1,1,3,2,2,2
909,55,97,39,2,17,35,1,1,3,2,2,2
620,40,99,22,2,10,29,1,1,3,1,1,1
1016,40,72,18,2,14,37,1,1,3,2,2,2
800,40,88,29,2,21,37,1,1,3,2,2,2
1050,40,119,37,3,7,37,0,1,2,2,2,2
1079,50,87,33,2,18,36,1,1,3,3,3,3
654,50,121,49,3,12,34,1,1,1,1,1,1
1038,48,103,36,3,8,36,1,0,2,2,2,2
1202,40,101,40,3,15,37,1,1,3,3,3,3
812,40,98,42,2,10,29,0,1,3,2,2,2
577,60,104,43,3,6,30,1,1,2,1,1,1
1155,45,85,39,2,14,34,1,1,2,3,3,3
1350,40,107,37,2,17,35,1,0,2,3,3,3
1230,50,96,33,3,11,30,1,1,3,3,3,3
714,40,90,32,2,17,37,1,0,3,1,1,1
1000,45,103,29,3,8,32,1,1,3,2,2,2
912,40,96,32,3,11,30,1,1,2,2,2,2
600,40,114,39,2,8,30,1,1,3,1,1,1
400,70,100,43,2,12,32,1,1,3,1,1,1
781,40,89,24,2,13,30,1,1,3,2,2,2
750,60,74,23,2,13,30,1,1,3,1,1,1
700,50,130,29,3,14,38,1,1,1,1,1,1
1105,40,104,29,3,5,29,1,1,3,3,3,3
962,40,120,33,2,18,36,1,1,3,2,2,2
721,40,134,38,3,9,30,0,1,3,1,1,1
658,40,129,34,3,11,30,1,1,2,1,1,1
1270,40,118,42,3,4,36,1,1,2,3,3,3
668,43,109,29,2,11,29,1,0,2,1,1,1
1100,40,91,41,2,18,36,1,0,2,3,3,3
523,43,119,37,3,9,30,1,0,3,1,1,1
1111,40,103,33,3,13,31,1,0,3,3,3,3
962,40,120,25,3,6,28,1,0,3,2,2,2
729,47,122,40,3,6,34,1,1,3,1,1,1
690,40,119,35,2,9,28,1,1,1,1,1,1
600,40,96,22,2,7,29,1,1,3,1,1,1
850,44,115,37,2,11,29,1,1,3,2,2,2
1442,40,123,42,3,14,38,1,0,2,3,3,3
670,50,108,43,2,14,34,1,1,3,1,1,1
876,45,116,35,3,10,29,1,1,2,2,2,2
841,40,109,45,3,13,36,1,0,3,2,2,2
1223,40,107,34,2,7,28,1,0,1,3,3,3
1206,40,110,37,2,16,38,1,1,1,3,3,3
540,50,113,33,2,12,31,1,0,3,1,1,1
615,40,100,31,3,9,30,1,0,3,1,1,1
769,40,100,34,2,18,36,1,0,1,2,2,2
879,70,90,43,2,17,35,0,1,1,2,2,2
465,43,84,33,3,10,29,1,1,3,1,1,1
641,45,125,44,3,9,37,1,1,1,1,1,1
1035,48,107,42,2,21,38,1,1,1,2,2,2
950,40,98,40,2,11,30,1,1,3,2,2,2
938,44,108,41,2,19,38,1,1,0,2,2,2
1250,40,114,37,3,8,30,1,1,3,3,3,3
693,53,101,29,2,7,28,1,0,1,1,1,1
562,40,99,25,2,18,34,0,0,1,1,1,1
375,60,75,24,2,12,30,0,0,3,1,1,1
692,50,120,34,2,17,35,1,0,3,1,1,1
1368,45,107,31,3,11,33,1,1,2,3,3,3
1282,45,121,39,3,7,32,1,1,2,3,3,3
1250,60,115,40,2,19,38,1,1,1,3,3,3
1346,40,134,42,3,15,35,1,1,2,3,3,3
1424,50,96,47,3,15,37,1,1,2,3,3,3
1161,50,121,40,2,5,34,1,1,3,3,3,3
1850,40,80,23,2,14,33,1,1,3,3,3,3
1575,40,117,28,2,13,30,1,1,3,3,3,3
489,55,104,47,3,20,38,1,1,2,1,1,1
1000,40,70,18,2,12,32,0,1,3,2,2,2
500,70,83,20,2,13,32,1,1,3,1,1,1
1200,50,84,13,2,13,32,1,1,3,3,3,3
774,40,94,33,2,20,37,1,0,1,2,2,2
233,60,96,32,3,7,30,1,0,3,1,1,1
1366,40,90,35,2,13,30,1,1,3,3,3,3
2137,40,120,48,3,16,37,1,1,3,3,3,3
700,40,120,38,3,10,29,1,1,1,1,1,1
1161,40,99,43,3,16,36,1,1,0,3,3,3
729,60,80,31,2,16,34,1,1,3,1,1,1
750,45,93,45,2,17,36,1,1,1,1,1,1
310,40,104,37,3,10,33,0,0,2,1,1,1
1000,40,96,34,3,9,31,0,1,3,2,2,2
350,40,109,48,2,14,36,1,0,1,1,1,1
765,45,94,38,2,17,37,1,0,3,2,2,2
818,47,92,41,2,16,38,1,0,3,2,2,2
477,60,71,32,2,12,30,1,0,3,1,1,1
940,48,104,25,2,13,32,1,1,3,2,2,2
450,40,94,29,3,9,31,1,0,1,1,1,1
1058,40,120,44,3,16,37,1,0,3,3,3,3
1000,40,96,40,2,15,37,1,1,3,2,2,2
318,40,67,35,2,16,36,1,1,3,1,1,1
556,40,69,26,2,13,34,0,1,3,1,1,1
958,60,98,42,2,11,28,1,1,0,2,2,2
995,40,92,23,2,22,38,1,1,3,2,2,2
1600,50,109,44,3,16,33,1,0,2,3,3,3
606,45,100,39,3,6,30,0,0,1,1,1,1
1075,40,115,28,3,9,30,1,0,2,3,3,3
1200,50,99,37,2,11,28,1,1,3,3,3,3
1377,37,118,48,3,15,36,1,1,2,3,3,3
874,55,132,37,3,8,33,1,0,2,2,2,2
625,40,108,26,3,11,30,1,1,3,1,1,1
693,40,79,36,2,18,38,1,0,3,1,1,1
727,55,97,29,2,11,31,1,0,3,1,1,1
615,50,99,49,3,16,38,1,0,2,1,1,1
913,40,101,33,3,5,31,1,1,2,2,2,2
884,46,120,45,3,4,36,1,0,2,2,2,2
698,43,97,33,2,10,29,1,1,2,1,1,1
800,55,106,34,2,17,36,1,0,3,2,2,2
812,40,131,44,3,9,30,0,0,1,2,2,2
1000,40,93,32,2,16,34,1,1,1,2,2,2
549,49,79,23,2,11,32,0,0,3,1,1,1
1300,35,100,38,2,13,31,1,1,3,3,3,3
721,40,105,22,2,11,30,1,0,3,1,1,1
962,40,93,46,2,15,30,1,1,2,2,2,2
433,50,100,40,2,5,37,1,0,2,1,1,1
1417,38,88,36,3,9,32,0,1,2,3,3,3
1000,65,93,32,2,11,29,1,1,3,2,2,2
550,40,77,36,2,15,37,1,0,3,1,1,1
575,40,96,31,2,17,35,1,1,2,1,1,1
508,50,87,35,2,16,32,1,1,2,1,1,1
1162,45,89,39,2,11,37,1,1,3,3,3,3
1199,43,70,28,3,13,30,1,1,3,3,3,3
350,45,116,36,3,5,33,1,1,2,1,1,1
963,40,85,32,3,9,28,1,1,3,2,2,2
1463,45,104,47,3,14,37,1,1,3,3,3,3
488,40,103,40,3,5,31,1,1,1,1,1,1
866,40,114,48,3,15,37,1,1,3,2,2,2
675,40,77,42,2,20,38,1,1,3,1,1,1
325,40,93,44,3,10,33,1,1,1,1,1,1
1442,40,132,39,3,8,33,1,1,3,3,3,3
560,49,112,37,3,13,32,1,0,3,1,1,1
1322,40,128,43,3,7,33,1,1,0,3,3,3
472,45,71,24,2,9,32,1,1,3,1,1,1
666,50,89,28,2,16,34,1,1,3,1,1,1
1250,40,102,30,3,13,30,1,1,3,3,3,3
760,40,88,34,2,12,31,1,1,2,2,2,2
705,50,100,44,2,15,36,1,1,1,1,1,1
770,40,80,25,2,16,35,1,1,1,2,2,2
1000,40,72,20,2,16,34,1,1,3,2,2,2
1329,55,115,56,3,10,36,1,1,1,3,3,3
1682,40,115,48,3,10,37,1,1,1,3,3,3
577,55,108,47,3,4,31,1,1,2,1,1,1
685,40,93,27,2,17,38,0,1,3,1,1,1
1040,40,101,38,2,19,38,1,1,3,2,2,2
1250,40,92,42,3,10,32,0,1,1,3,3,3
480,40,76,29,2,17,35,0,1,3,1,1,1
1000,40,93,26,2,11,29,1,1,3,2,2,2
988,48,91,39,2,15,36,1,1,1,2,2,2
478,45,90,35,2,19,34,1,1,2,1,1,1
440,40,84,23,2,11,30,1,1,3,1,1,1
485,40,120,43,2,11,30,1,1,3,1,1,1
1550,40,104,47,2,16,34,1,0,3,3,3,3
960,40,107,23,2,11,29,1,1,3,2,2,2
625,40,129,40,3,4,36,1,0,3,1,1,1
1346,40,112,39,3,14,35,1,1,0,3,3,3
961,40,76,17,2,13,31,0,1,3,2,2,2
479,40,97,45,2,15,38,1,0,3,1,1,1
543,45,90,31,3,5,38,1,1,1,1,1,1
450,40,63,26,2,12,31,1,1,3,1,1,1
705,40,76,32,2,13,37,1,1,3,1,1,1
1282,45,97,48,3,4,32,1,1,3,3,3,3
556,40,127,44,3,6,31,1,1,2,1,1,1
1200,40,109,42,3,7,33,1,1,2,3,3,3
1602,45,111,40,3,10,31,1,0,1,3,3,3
508,50,125,44,3,9,31,1,1,3,1,1,1
1500,60,124,20,3,6,29,1,0,2,3,3,3
750,40,110,45,3,13,35,1,1,2,1,1,1
409,40,93,26,2,17,38,0,0,0,1,1,1
345,40,84,28,2,7,31,1,1,2,1,1,1
495,40,88,30,2,6,31,1,1,2,1,1,1
1098,45,105,22,3,6,32,0,1,1,3,3,3
1212,40,95,36,2,6,38,1,0,3,3,3,3
460,40,92,22,2,16,36,1,1,3,1,1,1
945,40,87,41,2,12,38,1,1,2,2,2,2
1442,60,117,39,3,9,31,1,1,1,3,3,3
1333,45,112,50,3,14,38,1,1,1,3,3,3
700,40,74,29,2,16,36,1,1,3,1,1,1
2162,40,124,48,3,10,32,1,1,1,3,3,3
1015,40,67,31,2,15,32,1,1,3,2,2,2
630,40,103,30,3,14,32,1,0,0,1,1,1
660,42,101,34,3,12,31,1,1,0,1,1,1
1122,60,102,54,3,7,32,1,1,2,3,3,3
453,50,94,34,2,9,30,1,0,3,1,1,1
1386,40,97,38,2,17,37,1,1,1,3,3,3
962,50,105,45,3,15,37,1,1,3,2,2,2
722,55,113,36,3,8,38,0,1,1,1,1,1
1442,40,113,36,3,14,36,1,1,2,3,3,3
1333,60,106,38,3,5,30,1,1,2,3,3,3
915,55,114,36,2,17,37,1,1,1,2,2,2
1105,40,119,32,3,9,30,0,1,3,3,3,3
910,40,82,26,3,5,30,1,1,3,2,2,2
1000,40,89,40,2,17,38,1,1,3,2,2,2
1160,40,74,18,2,14,33,1,1,3,3,3,3
713,40,75,25,2,5,36,1,1,3,1,1,1
400,50,68,35,2,4,31,1,1,3,1,1,1
940,45,102,30,3,15,30,1,1,2,2,2,2
700,20,85,27,2,13,35,1,1,3,1,1,1
450,40,79,23,2,20,36,1,1,3,1,1,1
441,38,74,24,2,12,30,1,0,3,1,1,1
625,40,92,25,3,6,33,1,0,3,1,1,1
726,45,93,32,2,16,36,1,0,3,1,1,1
500,40,69,18,2,21,38,1,1,3,1,1,1
1000,44,113,41,3,8,34,1,1,3,2,2,2
393,48,92,37,2,15,38,1,1,1,1,1,1
600,40,127,44,2,8,28,0,0,2,1,1,1
732,40,104,36,2,10,36,1,1,1,1,1,1
975,40,87,12,2,20,37,1,0,3,2,2,2
1155,40,117,25,3,9,28,1,1,3,3,3,3
950,55,85,30,3,8,29,0,1,2,2,2,2
700,40,82,35,3,10,30,1,1,3,1,1,1
1354,40,119,49,3,13,35,0,0,2,3,3,3
962,40,110,34,2,16,33,1,1,2,2,2,2
1250,44,96,32,2,19,38,1,1,2,3,3,3
990,40,67,23,2,16,34,1,1,2,2,2,2
926,55,64,22,2,18,38,1,1,3,2,2,2
1559,40,103,32,2,17,34,1,1,3,3,3,3
1312,40,118,39,2,14,32,1,1,0,3,3,3
800,25,75,37,3,14,38,1,1,0,2,2,2
1190,40,119,38,3,4,34,1,1,0,3,3,3
1200,40,103,27,3,5,30,1,1,1,3,3,3
797,55,90,36,3,11,33,1,1,3,2,2,2
360,55,110,44,3,11,38,0,1,3,1,1,1
1270,40,84,40,2,11,30,1,1,2,3,3,3
1832,40,97,38,2,16,36,1,1,1,3,3,3
808,40,107,32,3,6,29,1,0,3,2,2,2
692,50,92,49,3,9,38,1,1,0,1,1,1
1384,50,114,48,3,12,37,1,1,1,3,3,3
528,55,116,40,3,5,30,1,1,3,1,1,1
881,40,90,41,2,4,36,1,0,2,2,2,2
1026,45,125,33,2,11,28,1,1,3,2,2,2
1843,48,109,38,3,11,32,1,1,3,3,3,3
1602,60,124,36,3,12,37,1,1,1,3,3,3
1000,40,121,35,3,6,33,1,1,2,2,2,2
1699,40,96,19,2,10,29,0,1,2,3,3,3
1107,40,112,38,2,12,38,1,1,3,3,3,3
720,50,101,39,3,1,29,1,1,3,1,1,1
1130,40,109,40,3,4,38,1,0,1,3,3,3
962,40,112,46,3,8,37,1,1,2,2,2,2
1874,48,64,37,2,22,38,1,1,3,3,3,3
900,40,119,39,3,8,30,1,0,1,2,2,2
882,44,96,34,2,15,31,1,0,3,2,2,2
1260,45,79,39,2,19,37,1,0,3,3,3,3
1001,48,137,36,3,11,33,1,0,3,2,2,2
1154,40,116,42,3,11,34,0,0,2,3,3,3
1250,40,78,36,2,16,33,1,1,3,3,3,3
857,65,99,41,2,18,38,1,1,2,2,2,2
1211,27,92,33,2,13,31,1,1,3,3,3,3
937,32,113,23,3,12,29,1,1,3,2,2,2
904,50,98,29,3,7,33,1,1,3,2,2,2
950,40,96,38,2,14,35,1,1,1,2,2,2
115,50,108,46,2,9,29,1,1,3,1,1,1
673,40,92,34,3,6,31,1,1,3,1,1,1
369,40,117,36,3,11,31,0,0,3,1,1,1
855,40,109,36,2,17,36,1,0,3,2,2,2
850,35,109,32,2,11,31,1,0,2,2,2,2
1049,44,122,39,3,7,33,1,0,3,2,2,2
884,40,108,40,3,9,35,1,1,3,2,2,2
850,43,111,38,3,8,34,1,1,3,2,2,2
1000,40,110,42,2,6,37,1,1,3,2,2,2
875,40,92,32,2,8,29,0,1,3,2,2,2
1442,40,105,42,2,9,37,1,1,3,3,3,3
625,40,72,34,2,17,34,1,0,3,1,1,1
680,40,86,35,2,13,32,0,0,3,1,1,1
2308,40,116,42,3,8,38,1,0,3,3,3,3
1500,40,101,38,3,13,32,1,1,3,3,3,3
1050,50,97,31,3,4,31,1,1,2,2,2,2
801,48,100,30,3,6,29,1,1,2,2,2,2
640,23,96,39,2,7,31,0,1,3,1,1,1
390,55,93,38,2,4,32,1,1,1,1,1,1
750,50,103,36,3,1,37,1,0,1,1,1,1
855,40,118,41,3,6,33,1,0,3,2,2,2
525,40,100,22,3,5,31,1,0,1,1,1,1
1104,54,96,39,2,11,29,1,0,1,3,3,3
800,43,96,27,2,10,29,1,0,1,2,2,2
1384,50,104,42,3,8,31,1,0,3,3,3,3
425,30,106,34,3,8,36,0,0,0,1,1,1
510,54,62,34,2,13,33,0,1,3,1,1,1
370,32,73,31,2,13,31,1,0,3,1,1,1
596,40,62,26,2,16,33,1,0,3,1,1,1
600,40,87,15,2,20,36,1,0,0,1,1,1
340,50,104,41,3,4,31,1,1,3,1,1,1
692,50,95,21,2,16,34,1,1,2,1,1,1
575,40,116,37,2,11,29,1,0,1,1,1,1
1026,60,105,34,3,12,35,1,1,3,2,2,2
850,40,105,34,2,6,33,1,1,1,2,2,2
900,38,106,40,2,10,38,1,1,3,2,2,2
562,55,90,46,3,4,38,1,0,1,1,1,1
562,80,104,30,2,11,28,1,0,1,1,1,1
1009,40,118,37,3,11,32,1,0,0,2,2,2
651,40,76,30,2,11,29,1,1,3,1,1,1
754,40,55,23,2,13,33,1,0,2,1,1,1
700,40,73,23,2,17,38,1,0,3,1,1,1
937,40,104,37,2,14,32,1,0,1,2,2,2
750,40,83,27,2,4,32,1,0,3,1,1,1
540,40,70,25,2,12,29,1,0,3,1,1,1
642,35,87,26,3,9,30,1,0,3,1,1,1
894,40,104,35,3,7,35,1,0,3,2,2,2
1282,60,96,24,3,7,32,1,1,3,3,3,3
325,55,113,39,2,11,29,1,0,1,1,1,1
1040,48,108,36,2,16,35,1,1,3,2,2,2
751,40,104,32,2,15,34,1,1,3,1,1,1
380,50,106,28,2,15,30,1,0,2,1,1,1
1065,65,104,39,3,10,34,1,1,2,3,3,3
1573,55,112,42,3,7,34,1,1,1,3,3,3
494,40,74,30,2,16,34,1,0,3,1,1,1
890,48,100,40,2,4,31,1,0,0,2,2,2
891,40,90,36,2,16,32,1,0,3,2,2,2
570,50,101,43,2,11,30,1,1,2,1,1,1
481,48,98,26,2,14,31,0,1,3,1,1,1
1473,40,110,48,3,15,36,1,0,1,3,3,3
803,40,120,35,3,4,28,1,1,3,2,2,2
450,40,95,31,2,12,30,1,0,2,1,1,1
357,70,97,34,3,6,28,1,0,1,1,1,1
1442,40,113,45,3,8,35,1,1,2,3,3,3
645,45,93,39,2,11,35,1,0,3,1,1,1
788,40,100,23,2,15,32,1,0,3,2,2,2
644,42,101,38,2,11,33,1,0,3,1,1,1
477,45,100,33,2,9,31,1,0,3,1,1,1
664,60,82,30,3,10,34,1,1,3,1,1,1
873,44,109,25,2,12,28,1,0,1,2,2,2
1000,40,107,32,2,17,35,1,0,3,2,2,2
