wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
808,50,119,41,3,11,37,1,1,1,2,2,2
825,40,108,46,3,11,33,1,1,1,2,2,2
562,40,74,27,2,14,34,1,1,3,1,1,1
600,40,91,24,2,13,30,0,1,1,1,1,1
1081,40,114,50,3,8,38,1,1,2,3,3,3
930,43,132,44,3,8,38,1,0,1,2,2,2
921,38,102,45,3,9,33,1,0,1,2,2,2
1792,40,118,47,3,9,34,1,1,1,3,3,3
1360,45,109,39,3,6,36,1,1,3,3,3,3
471,44,101,34,2,13,31,1,1,3,1,1,1
1615,50,113,49,3,10,36,1,1,2,3,3,3
873,65,95,36,2,14,38,1,1,3,2,2,2
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
1188,40,93,40,3,16,35,1,1,2,3,3,3
1417,48,125,41,3,9,34,1,1,3,3,3,3
1000,40,103,40,2,17,34,1,1,1,2,2,2
666,75,129,40,3,8,38,1,0,2,1,1,1
1572,35,108,39,3,7,28,1,1,1,3,3,3
1274,40,106,35,3,11,31,1,1,0,3,3,3
692,40,108,48,2,21,38,1,1,3,1,1,1
1318,38,122,47,3,10,33,1,1,1,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1748,55,125,50,3,12,34,1,1,1,3,3,3
770,40,105,34,3,7,30,1,1,3,2,2,2
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
769,55,120,49,3,8,32,0,1,1,2,2,2
875,50,124,40,3,9,31,0,0,2,2,2,2
1452,45,115,45,3,1,30,1,1,3,3,3,3
1151,40,98,34,2,12,29,1,1,3,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
978,45,89,47,2,17,38,1,1,0,2,2,2
963,40,109,43,2,15,37,0,0,3,2,2,2
1643,48,117,48,3,8,33,1,1,2,3,3,3
1235,40,82,45,2,10,33,1,1,1,3,3,3
855,45,119,45,3,11,32,1,1,3,2,2,2
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
996,50,114,41,2,5,31,1,1,2,2,2,2
732,40,73,28,2,17,36,1,1,3,1,1,1
