wage,hours,IQ,KWW,educ,exper,age,married,urban,sibs,brthord,meduc,feduc
769,40,93,35,2,11,31,1,1,1,2,2,2
808,50,119,41,3,11,37,1,1,1,2,2,2
825,40,108,46,3,11,33,1,1,1,2,2,2
1081,40,114,50,3,8,38,1,1,2,3,3,3
1000,40,95,44,2,16,36,1,1,1,2,2,2
900,45,125,40,3,4,30,0,0,2,2,2,2
1318,38,119,24,3,7,28,1,1,3,3,3,3
1360,45,109,39,3,6,36,1,1,3,3,3,3
830,44,105,29,3,4,29,1,1,3,2,2,2
1615,50,113,49,3,10,36,1,1,2,3,3,3
2137,45,145,50,3,17,38,1,1,2,3,3,3
1053,38,114,35,3,12,32,1,1,0,2,2,2
800,40,115,39,3,11,35,1,1,0,1,2,2
635,40,128,35,3,8,36,0,1,2,1,1,1
1000,40,103,40,2,17,34,1,1,1,2,2,2
666,75,129,40,3,8,38,1,0,2,1,1,1
1779,40,132,42,3,8,32,1,1,1,3,3,3
782,40,92,24,3,9,31,1,1,3,2,2,2
1572,35,108,39,3,7,28,1,1,1,3,3,3
1081,40,123,46,3,11,36,1,0,1,3,3,3
1318,38,122,47,3,10,33,1,1,1,3,3,3
1239,45,109,44,2,16,38,1,1,3,3,3,3
1027,27,100,40,3,12,38,1,1,3,2,2,2
1748,55,125,50,3,12,34,1,1,1,3,3,3
981,40,122,41,3,9,35,0,1,3,2,2,2
770,40,105,34,3,7,30,1,1,3,2,2,2
1154,50,94,37,3,11,33,1,1,1,3,3,3
808,60,109,47,3,14,38,1,1,2,2,2,2
1154,40,134,46,3,10,37,1,1,2,3,3,3
1749,40,108,32,2,13,29,0,1,3,3,3,3
1000,50,104,36,3,11,30,1,1,1,2,2,2
462,40,112,35,2,11,29,1,1,3,1,1,1
875,50,124,40,3,9,31,0,0,2,2,2,2
800,40,96,33,2,17,35,1,1,1,2,2,2
1748,55,123,48,3,10,36,1,1,1,3,3,3
840,50,96,34,2,18,35,1,1,2,2,2,2
619,42,93,20,2,10,28,0,1,3,1,1,1
600,40,120,45,3,12,38,1,0,3,1,1,1
1366,38,122,38,2,15,32,1,1,1,3,3,3
1643,48,117,48,3,8,33,1,1,2,3,3,3
2310,40,114,55,3,12,38,1,1,2,3,3,3
1682,45,126,40,3,10,31,1,1,1,3,3,3
1000,50,97,45,2,17,36,1,1,1,2,2,2
675,40,105,27,3,8,31,1,0,3,1,1,1
1100,37,100,32,2,14,30,1,1,1,3,3,3
732,40,73,28,2,17,36,1,1,3,1,1,1
686,55,106,38,2,15,36,1,1,3,1,1,1
754,40,104,37,3,9,32,1,1,1,2,1,1
579,44,122,36,3,8,30,1,0,3,1,1,1
2500,40,95,51,3,12,36,1,1,3,3,3,3
1186,30,91,41,3,8,33,1,1,1,3,3,3
1250,46,110,37,2,5,38,1,0,1,3,3,3
865,40,110,35,3,1,31,1,1,3,2,2,2
903,40,91,39,2,6,36,1,1,3,2,2,2
625,40,110,32,2,18,35,1,1,3,1,1,1
1586,40,92,47,3,16,36,1,1,3,3,3,3
962,40,85,41,2,15,38,1,1,1,2,2,2
1110,52,106,42,2,11,33,1,0,3,3,3,3
1000,45,90,42,2,16,38,1,1,3,2,2,2
1205,40,86,32,2,13,32,1,1,3,3,3,3
750,40,113,27,2,11,29,1,0,1,1,1,1
654,50,111,51,3,5,38,1,1,3,1,1,1
601,48,111,30,2,15,33,1,1,0,1,1,1
600,40,106,32,3,10,28,1,1,3,1,1,1
433,40,98,28,2,11,30,0,1,1,1,1,1
635,40,105,29,2,15,33,1,0,2,1,1,1
1151,45,90,38,2,19,36,1,1,1,3,3,3
865,40,95,34,2,15,32,0,1,3,2,2,2
1031,40,112,24,3,9,29,1,1,3,2,2,2
1049,55,120,39,2,9,32,1,1,3,2,2,2
1000,45,123,41,2,12,29,1,1,3,2,2,2
1495,45,109,34,3,10,32,1,1,3,3,3,3
1200,40,97,35,2,10,31,1,1,3,3,3,3
1325,45,97,44,2,12,28,1,1,1,3,3,3
800,40,112,39,2,15,34,1,1,3,2,2,2
980,40,101,41,2,4,36,1,1,1,2,2,2
480,40,59,28,2,11,34,0,1,0,1,1,1
923,40,105,54,3,7,34,1,1,1,2,2,2
1105,40,93,36,2,17,37,0,1,2,3,3,3
2771,50,134,45,3,6,34,1,1,3,3,3,3
779,40,84,29,2,9,30,1,1,0,2,2,2
1495,45,113,50,3,13,33,1,1,3,3,3,3
670,40,93,27,3,9,29,1,1,2,1,1,1
450,64,67,19,2,11,33,0,1,3,1,1,1
1028,40,111,28,2,19,37,1,1,3,2,2,2
1899,40,127,49,3,9,36,0,1,0,3,3,3
1250,40,115,36,3,9,29,1,1,2,3,3,3
1162,48,102,40,3,8,31,1,1,3,3,3,3
